Symbol,Total Revenue,Gross Profit,Operating Income,Net Income,EBITDA,Interest Expense,EBIT,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Current Assets,Current Liabilities,Total Debt,Stockholders Equity,Inventory,Accounts Receivable,Operating Cash Flow,Capital Expenditure,Free Cash Flow,Revenue Growth (YoY),EPS Growth (YoY)
MMM,24948000000.0,9957000000.0,4791000000.0,3250000000.0,6467000000.0,946000000.0,5159000000.0,6.0,37733000000.0,32986000000.0,16387000000.0,9595000000.0,12602000000.0,4702000000.0,3661000000.0,3533000000.0,2306000000.0,-910000000.0,1396000000.0,0.015178026449643948,-0.2052980132450331
AOS,3830200000.0,1487400000.0,728000000.0,546200000.0,813700000.0,13500000.0,728600000.0,3.848783,3142800000.0,1284800000.0,1291500000.0,862500000.0,192100000.0,1858000000.0,479300000.0,582300000.0,616800000.0,-70800000.0,546000000.0,0.0031691155286660906,0.06089652326620194
ABT,44328000000.0,25009000000.0,8053000000.0,6524000000.0,12075000000.0,493000000.0,8959000000.0,3.72,86713000000.0,33942000000.0,25996000000.0,16496000000.0,13860000000.0,52130000000.0,6488000000.0,7929000000.0,9566000000.0,-2171000000.0,7395000000.0,0.0566865315852205,-0.5130890052356021
ABBV,61160000000.0,42956000000.0,20091000000.0,4226000000.0,17629000000.0,2893000000.0,9490000000.0,2.36,133960000000.0,137188000000.0,29062000000.0,43289000000.0,67496000000.0,-3270000000.0,4951000000.0,12589000000.0,19030000000.0,-1214000000.0,17816000000.0,0.08566762523520431,-0.01255230125523023
ACN,69672977000.0,22235401000.0,10840988000.0,7678433000.0,11867333000.0,228555000.0,10498948000.0,12.15,65394897000.0,33153930000.0,28900689000.0,20352097000.0,8182866000.0,31195446000.0,,13065433000.0,11474399000.0,-600039000.0,10874360000.0,0.07360205326441206,0.06206293706293714
ADBE,23769000000.0,21218000000.0,8706000000.0,7130000000.0,9815000000.0,263000000.0,8997000000.0,16.7,29496000000.0,17873000000.0,10163000000.0,10200000000.0,6648000000.0,11623000000.0,,2344000000.0,10031000000.0,-179000000.0,9852000000.0,0.10527784236224134,0.3511326860841424
AMD,34639000000.0,17152000000.0,3694000000.0,4335000000.0,7275000000.0,131000000.0,4271000000.0,2.65,76926000000.0,13927000000.0,26947000000.0,9455000000.0,3847000000.0,62999000000.0,7920000000.0,6315000000.0,7709000000.0,-974000000.0,6735000000.0,0.34337793290672874,1.65
AES,12233000000.0,2211000000.0,1970000000.0,910000000.0,2939000000.0,1407000000.0,1482000000.0,1.26,51768000000.0,42663000000.0,6502000000.0,8492000000.0,29897000000.0,4063000000.0,612000000.0,1683000000.0,4306000000.0,-5929000000.0,-1623000000.0,-0.0036650920345333115,-0.4661016949152542
AFL,17355000000.0,,,3646000000.0,,220000000.0,4753000000.0,6.82,116470000000.0,86980000000.0,,,8409000000.0,29490000000.0,,835000000.0,2555000000.0,,2555000000.0,-0.0926913425345044,-0.29179646936656284
A,6948000000.0,3643000000.0,1479000000.0,1303000000.0,1835000000.0,112000000.0,1547000000.0,4.57,12727000000.0,5986000000.0,4594000000.0,2347000000.0,3354000000.0,6741000000.0,1025000000.0,1487000000.0,1559000000.0,-407000000.0,1152000000.0,0.06728110599078341,0.03160270880361187
APD,12037300000.0,3781300000.0,2889000000.0,-394500000.0,1337500000.0,214000000.0,-226700000.0,-1.77,41059500000.0,23709700000.0,5825800000.0,4218600000.0,18406200000.0,15024900000.0,776500000.0,1901200000.0,3256800000.0,-7022600000.0,-3765800000.0,-0.005231145563029932,-1.1030267753201397
ABNB,12241000000.0,10155000000.0,2544000000.0,2511000000.0,2544000000.0,,2544000000.0,1.03,22208000000.0,14009000000.0,18797000000.0,13649000000.0,2067000000.0,8199000000.0,,186000000.0,4646000000.0,,4646000000.0,0.10259412718429112,-0.7493917274939172
AKAM,4208175000.0,2480662000.0,628242000.0,452031000.0,1341775000.0,30759000.0,633164000.0,3.07,11479643000.0,6502272000.0,2286680000.0,967518000.0,5675388000.0,4977371000.0,,577914000.0,1518765000.0,-819500000.0,699265000.0,0.05437180294089349,-0.06116207951070342
ALB,5142733000.0,668719000.0,67285000.0,-510628000.0,314256000.0,207651000.0,-344422000.0,-5.76,16374211000.0,6592750000.0,4008139000.0,1798044000.0,3296651000.0,9533365000.0,1179271000.0,593502000.0,1282267000.0,-589801000.0,692466000.0,-0.04366189954265214,0.4857142857142857
ARE,2945175000.0,2022570000.0,555045000.0,-1429570000.0,360450000.0,226698000.0,-990028000.0,-8.44,34081835000.0,14925399000.0,939781000.0,2182600000.0,12761098000.0,15470070000.0,,6672000.0,1414046000.0,,1414046000.0,-0.03427576297518515,-5.688888888888889
