Symbol,Security,GICS Sector,GICS Sub-Industry,Total Revenue,Gross Profit,Operating Income,Net Income,EBITDA,Interest Expense,EBIT,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Current Assets,Current Liabilities,Total Debt,Stockholders Equity,Inventory,Accounts Receivable,Operating Cash Flow,Capital Expenditure,Free Cash Flow,Revenue Growth (YoY),EPS Growth (YoY),Negative Equity Flag,Gross Margin,Operating Margin,Net Margin,ROE,ROA,Current Ratio,Quick Ratio,Debt-to-Equity,Debt-to-Assets,Interest Coverage Ratio,Asset Turnover,Receivables Turnover,Free Cash Flow Margin,Gross Margin (Pct),Operating Margin (Pct),Net Margin (Pct),ROE (Pct),ROA (Pct),Profitability Score,Current Ratio (Pct),Quick Ratio (Pct),Liquidity Score,Debt-to-Equity (Pct),Debt-to-Assets (Pct),Interest Coverage Ratio (Pct),Leverage Score,Asset Turnover (Pct),Receivables Turnover (Pct),Efficiency Score,Revenue Growth (YoY) (Pct),EPS Growth (YoY) (Pct),Free Cash Flow Margin (Pct),Growth Score,Health Score,Health Label
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,12233000000.0,2211000000.0,1970000000.0,910000000.0,2939000000.0,1407000000.0,1482000000.0,1.26,51768000000.0,42663000000.0,6502000000.0,8492000000.0,29897000000.0,4063000000.0,612000000.0,1683000000.0,4306000000.0,-5929000000.0,-1623000000.0,-0.0036650920345333,-0.4661016949152542,False,0.1807406196354124,0.1610398103490558,0.0743889479277364,0.2239724341619492,0.0175784268273837,0.7656617993405558,0.6935939707960433,7.358355894659119,0.5775189306135065,1.0533049040511726,0.2363042806366867,7.268568033273915,-0.1326739148205673,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,1.0,100.0,100.0,Strong
AFL,Aflac,Financials,Life & Health Insurance,17355000000.0,,,3646000000.0,,220000000.0,4753000000.0,6.82,116470000000.0,86980000000.0,,,8409000000.0,29490000000.0,0.0,835000000.0,2555000000.0,,2555000000.0,-0.0926913425345044,-0.2917964693665628,False,,,0.2100835494093921,0.1236351305527297,0.031304198506053,,,,0.0721988494891388,,0.1490083283248905,20.78443113772455,0.1472198213771247,,,1.0,1.0,1.0,100.0,,,,,1.0,,100.0,1.0,1.0,100.0,1.0,1.0,1.0,100.0,100.0,Strong
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",12241000000.0,10155000000.0,2544000000.0,2511000000.0,2544000000.0,0.0,2544000000.0,1.03,22208000000.0,14009000000.0,18797000000.0,13649000000.0,2067000000.0,8199000000.0,0.0,186000000.0,4646000000.0,,4646000000.0,0.1025941271842911,-0.7493917274939172,False,0.8295890858589985,0.2078261579936279,0.2051302998121068,0.3062568605927552,0.1130673631123919,1.3771704886804894,1.3771704886804894,0.2521039151115989,0.0930745677233429,,0.5511977665706052,65.81182795698925,0.3795441548893064,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,,100.0,1.0,1.0,100.0,1.0,1.0,1.0,100.0,100.0,Strong
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2945175000.0,2022570000.0,555045000.0,-1429570000.0,360450000.0,226698000.0,-990028000.0,-8.44,34081835000.0,14925399000.0,939781000.0,2182600000.0,12761098000.0,15470070000.0,0.0,6672000.0,1414046000.0,,1414046000.0,-0.0342757629751851,-5.688888888888889,False,0.686740176729736,0.1884590898673253,-0.4853939069834559,-0.0924087609170482,-0.0419452180318342,0.4305786676440942,0.4305786676440942,0.8248894801380989,0.3744252033377898,-4.367166891635568,0.0864148013157155,441.4231115107914,0.4801229128999125,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,1.0,100.0,100.0,Strong
ALB,Albemarle Corporation,Materials,Specialty Chemicals,5142733000.0,668719000.0,67285000.0,-510628000.0,314256000.0,207651000.0,-344422000.0,-5.76,16374211000.0,6592750000.0,4008139000.0,1798044000.0,3296651000.0,9533365000.0,1179271000.0,593502000.0,1282267000.0,-589801000.0,692466000.0,-0.0436618995426521,0.4857142857142857,False,0.1300318332684197,0.013083510265845,-0.099291174556408,-0.0535621997059799,-0.0311848919010509,2.2291662495467297,1.5733029892483166,0.3458014038065258,0.2013318992896818,-1.6586580368021344,0.3140751636826959,8.665064313178389,0.1346494169539814,0.5,0.5,0.5,0.5,0.5,50.0,1.0,1.0,100.0,1.0,1.0,0.5,83.33333333333334,1.0,1.0,100.0,0.5,1.0,1.0,83.33333333333334,79.16666666666667,Strong
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,6948000000.0,3643000000.0,1479000000.0,1303000000.0,1835000000.0,112000000.0,1547000000.0,4.57,12727000000.0,5986000000.0,4594000000.0,2347000000.0,3354000000.0,6741000000.0,1025000000.0,1487000000.0,1559000000.0,-407000000.0,1152000000.0,0.0672811059907834,0.0316027088036118,False,0.5243235463442717,0.21286701208981,0.1875359815774323,0.1932947633882213,0.1023807653021136,1.957392415850021,1.5206646783127398,0.4975522919448153,0.2635342185903984,13.8125,0.5459259841282313,4.672494956287828,0.1658031088082901,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,80.0,1.0,1.0,100.0,0.5,0.6666666666666666,0.6666666666666666,61.11111111111111,1.0,0.3333333333333333,66.66666666666666,0.6666666666666666,1.0,0.3333333333333333,66.66666666666666,75.94444444444444,Strong
AOS,A. O. Smith,Industrials,Building Products,3830200000.0,1487400000.0,728000000.0,546200000.0,813700000.0,13500000.0,728600000.0,3.848783,3142800000.0,1284800000.0,1291500000.0,862500000.0,192100000.0,1858000000.0,479300000.0,582300000.0,616800000.0,-70800000.0,546000000.0,0.003169115528666,0.0608965232662019,False,0.3883348128035089,0.1900684037387081,0.1426035193984648,0.2939720129171151,0.1737940689830724,1.4973913043478262,0.9416811594202898,0.1033907427341227,0.0611238386152475,53.97037037037037,1.2187221585847017,6.577709084664263,0.1425513028040311,0.5,0.5,1.0,0.5,1.0,70.0,0.5,0.5,50.0,1.0,1.0,1.0,100.0,1.0,0.5,75.0,0.5,1.0,1.0,83.33333333333334,75.58333333333333,Strong
MMM,3M,Industrials,Industrial Conglomerates,24948000000.0,9957000000.0,4791000000.0,3250000000.0,6467000000.0,946000000.0,5159000000.0,6.0,37733000000.0,32986000000.0,16387000000.0,9595000000.0,12602000000.0,4702000000.0,3661000000.0,3533000000.0,2306000000.0,-910000000.0,1396000000.0,0.0151780264496439,-0.2052980132450331,False,0.3991101491101491,0.192039442039442,0.1302709636042969,0.6911952360697575,0.0861315029284711,1.7078686816050026,1.326315789473684,2.6801361122926415,0.3339782153552593,5.453488372093023,0.6611719184798452,7.061420888763091,0.0559563892897226,1.0,1.0,0.5,1.0,0.5,80.0,1.0,1.0,100.0,0.5,0.5,0.5,50.0,0.5,1.0,75.0,1.0,0.5,0.5,66.66666666666666,74.41666666666667,Strong
ABT,Abbott Laboratories,Health Care,Health Care Equipment,44328000000.0,25009000000.0,8053000000.0,6524000000.0,12075000000.0,493000000.0,8959000000.0,3.72,86713000000.0,33942000000.0,25996000000.0,16496000000.0,13860000000.0,52130000000.0,6488000000.0,7929000000.0,9566000000.0,-2171000000.0,7395000000.0,0.0566865315852205,-0.5130890052356021,False,0.5641806533116765,0.181668471395055,0.1471756000721891,0.125148666794552,0.0752367003794125,1.5758971871968963,1.1825897187196897,0.2658737770957222,0.1598376252695674,18.17241379310345,0.5112036257539239,5.590616723420355,0.1668245804006497,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,56.666666666666664,0.6666666666666666,0.6666666666666666,66.66666666666666,1.0,1.0,1.0,100.0,0.6666666666666666,1.0,83.33333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,44.44444444444444,72.27777777777777,Strong
ADBE,Adobe Inc.,Information Technology,Application Software,23769000000.0,21218000000.0,8706000000.0,7130000000.0,9815000000.0,263000000.0,8997000000.0,16.7,29496000000.0,17873000000.0,10163000000.0,10200000000.0,6648000000.0,11623000000.0,0.0,2344000000.0,10031000000.0,-179000000.0,9852000000.0,0.1052778423622413,0.3511326860841424,False,0.8926753334174765,0.3662754007320459,0.2999705498758888,0.6134388712036479,0.2417276918904258,0.9963725490196078,0.9963725490196078,0.5719693710745934,0.2253864930838079,34.20912547528517,0.8058380797396257,10.140358361774744,0.4144894610627287,1.0,1.0,1.0,1.0,1.0,100.0,0.25,0.25,25.0,0.5,0.5,0.75,58.333333333333336,0.75,1.0,87.5,0.75,0.75,1.0,83.33333333333334,71.04166666666667,Strong
