,2025-04-30,2024-04-30,2023-04-30,2022-04-30
Free Cash Flow,584630000.0,370949000.0,405383000.0,462266000.0
Repurchase Of Capital Stock,-734000.0,-104898000.0,0.0,0.0
Repayment Of Debt,-239492000.0,-53656000.0,-40970000.0,-188537000.0
Issuance Of Debt,1100000000.0,0.0,0.0,450000000.0
Capital Expenditure,-506224000.0,-522004000.0,-476568000.0,-326475000.0
Interest Paid Supplemental Data,86598000.0,63449000.0,56799000.0,54499000.0
Income Tax Paid Supplemental Data,89771000.0,105000000.0,90398000.0,49565000.0
End Cash Position,326662000.0,206482000.0,378869000.0,158878000.0
Beginning Cash Position,206482000.0,378869000.0,158878000.0,336545000.0
Changes In Cash,120180000.0,-172387000.0,219991000.0,-177667000.0
Financing Cash Flow,755994000.0,-239984000.0,-116926000.0,191587000.0
Cash Flow From Continuing Financing Activities,755994000.0,-239984000.0,-116926000.0,191587000.0
Net Other Financing Charges,-31471000.0,-18512000.0,-20339000.0,-18797000.0
Proceeds From Stock Option Exercised,,0.0,0.0,133000.0
Cash Dividends Paid,-72309000.0,-62918000.0,-55617000.0,-51212000.0
Common Stock Dividend Paid,-72309000.0,-62918000.0,-55617000.0,-51212000.0
Net Common Stock Issuance,-734000.0,-104898000.0,0.0,0.0
Common Stock Payments,-734000.0,-104898000.0,0.0,0.0
Net Issuance Payments Of Debt,860508000.0,-53656000.0,-40970000.0,261463000.0
Net Short Term Debt Issuance,,,0.0,0.0
Short Term Debt Payments,,,0.0,0.0
Net Long Term Debt Issuance,860508000.0,-53656000.0,-40970000.0,261463000.0
Long Term Debt Payments,-239492000.0,-53656000.0,-40970000.0,-188537000.0
Long Term Debt Issuance,1100000000.0,0.0,0.0,450000000.0
Investing Cash Flow,-1726668000.0,-825356000.0,-545034000.0,-1157995000.0
Cash Flow From Continuing Investing Activities,-1726668000.0,-825356000.0,-545034000.0,-1157995000.0
Net Business Purchase And Sale,-1239249000.0,-330032000.0,-85569000.0,-901638000.0
Purchase Of Business,-1239249000.0,-330032000.0,-85569000.0,-901638000.0
Net PPE Purchase And Sale,-487419000.0,-495324000.0,-459465000.0,-256357000.0
Sale Of PPE,18805000.0,26680000.0,17103000.0,70118000.0
Purchase Of PPE,-506224000.0,-522004000.0,-476568000.0,-326475000.0
Operating Cash Flow,1090854000.0,892953000.0,881951000.0,788741000.0
Cash Flow From Continuing Operating Activities,1090854000.0,892953000.0,881951000.0,788741000.0
Change In Working Capital,6754000.0,-73471000.0,19088000.0,1814000.0
Change In Other Working Capital,11406000.0,7588000.0,25187000.0,-49949000.0
Change In Payables And Accrued Expense,743000.0,5656000.0,10809000.0,189467000.0
Change In Accrued Expense,21525000.0,14387000.0,20292000.0,23574000.0
Change In Payable,-20782000.0,-8731000.0,-9483000.0,165893000.0
Change In Account Payable,-20782000.0,-8731000.0,-9483000.0,165893000.0
Change In Prepaid Assets,3658000.0,-3684000.0,-4248000.0,-6376000.0
Change In Inventory,-7756000.0,-51785000.0,-141000.0,-98303000.0
Change In Receivables,-1297000.0,-31246000.0,-12519000.0,-33025000.0
Other Non Cash Items,13842000.0,13610000.0,26020000.0,24100000.0
Stock Based Compensation,47732000.0,41379000.0,47024000.0,37976000.0
Deferred Tax,59958000.0,53252000.0,23126000.0,82721000.0
Deferred Income Tax,59958000.0,53252000.0,23126000.0,82721000.0
Depreciation Amortization Depletion,403647000.0,349797000.0,313131000.0,303541000.0
Depreciation And Amortization,403647000.0,349797000.0,313131000.0,303541000.0
Operating Gains Losses,12401000.0,6414000.0,6871000.0,-1201000.0
Net Income From Continuing Operations,546520000.0,501972000.0,446691000.0,339790000.0
