,2025-04-30,2024-04-30,2023-04-30,2022-04-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.233,0.235,0.24,0.229
Normalized EBITDA,1200047000.0,1059398000.0,952464000.0,801241000.0
Net Income From Continuing Operation Net Minority Interest,546520000.0,501972000.0,446691000.0,339790000.0
Reconciled Depreciation,403647000.0,349797000.0,313131000.0,303541000.0
Reconciled Cost Of Revenue,12188496000.0,11515002000.0,12022069000.0,10189880000.0
EBITDA,1200047000.0,1059398000.0,952464000.0,801241000.0
EBIT,796400000.0,709601000.0,639333000.0,497700000.0
Net Interest Income,-83951000.0,-53441000.0,-51815000.0,-56972000.0
Normalized Income,546520000.0,501972000.0,446691000.0,339790000.0
Net Income From Continuing And Discontinued Operation,546520000.0,501972000.0,446691000.0,339790000.0
Total Expenses,15144499000.0,14153312000.0,14455142000.0,12454894000.0
Diluted Average Shares,37343012.0,37370306.0,37519695.0,37356698.0
Basic Average Shares,37116152.0,37164022.0,37266851.0,37158898.0
Diluted EPS,14.64,13.43,11.91,9.1
Basic EPS,14.72,13.51,11.99,9.14
Diluted NI Availto Com Stockholders,546520000.0,501972000.0,446691000.0,339790000.0
Net Income Common Stockholders,546520000.0,501972000.0,446691000.0,339790000.0
Net Income,546520000.0,501972000.0,446691000.0,339790000.0
Net Income Including Noncontrolling Interests,546520000.0,501972000.0,446691000.0,339790000.0
Net Income Continuous Operations,546520000.0,501972000.0,446691000.0,339790000.0
Tax Provision,165929000.0,154188000.0,140827000.0,100938000.0
Pretax Income,712449000.0,656160000.0,587518000.0,440728000.0
Net Non Operating Interest Income Expense,-83951000.0,-53441000.0,-51815000.0,-56972000.0
Total Other Finance Cost,83951000.0,53441000.0,51815000.0,56972000.0
Operating Income,796400000.0,709601000.0,639333000.0,497700000.0
Operating Expense,2956003000.0,2638310000.0,2433073000.0,2265014000.0
Other Operating Expenses,2552356000.0,2288513000.0,2119942000.0,1961473000.0
Depreciation Amortization Depletion Income Statement,403647000.0,349797000.0,313131000.0,303541000.0
Depreciation And Amortization In Income Statement,403647000.0,349797000.0,313131000.0,303541000.0
Gross Profit,3752403000.0,3347911000.0,3072406000.0,2762714000.0
Cost Of Revenue,12188496000.0,11515002000.0,12022069000.0,10189880000.0
Total Revenue,15940899000.0,14862913000.0,15094475000.0,12952594000.0
Operating Revenue,15531682000.0,14591065000.0,14795647000.0,12657665000.0
