,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,2496000.0,-492420000.0,-267150000.0,447360000.0,
Tax Rate For Calcs,0.192,0.283,0.026,0.192,
Normalized EBITDA,,11219000000.0,181495000000.0,10232000000.0,45504000000.0
Total Unusual Items,13000000.0,-1740000000.0,-10275000000.0,2330000000.0,
Total Unusual Items Excluding Goodwill,13000000.0,-1740000000.0,-10275000000.0,2330000000.0,
Net Income From Continuing Operation Net Minority Interest,5957000000.0,3434000000.0,25820000000.0,6704000000.0,
Reconciled Depreciation,2775000000.0,2775000000.0,3035000000.0,2937000000.0,
Reconciled Cost Of Revenue,,220085000000.0,4385590000000.0,155957000000.0,1393103000000.0
EBITDA,,9479000000.0,171220000000.0,12562000000.0,59958000000.0
EBIT,9189000000.0,6704000000.0,34795000000.0,9625000000.0,
Net Interest Income,-1408000000.0,-1435000000.0,-108450000000.0,-1228000000.0,
Interest Expense,1408000000.0,1435000000.0,7230000000.0,1228000000.0,
Normalized Income,5946496000.0,4681580000.0,35827850000.0,4821360000.0,
Net Income From Continuing And Discontinued Operation,5957000000.0,3434000000.0,25820000000.0,6704000000.0,
Total Expenses,267095000000.0,237704000000.0,4941075000000.0,172068000000.0,
Total Operating Income As Reported,,9417000000.0,42680000000.0,8450000000.0,23823000000.0
Diluted Average Shares,268563000.0,283218000.0,296882000.0,313065000.0,
Basic Average Shares,268563000.0,283218000.0,296882000.0,313065000.0,
Diluted EPS,22.18,12.12,17.39,21.299091,
Basic EPS,22.18,12.12,17.39,21.299091,
Diluted NI Availto Com Stockholders,5957000000.0,3434000000.0,25820000000.0,6704000000.0,
Net Income Common Stockholders,5957000000.0,3434000000.0,25820000000.0,6704000000.0,
Net Income,5957000000.0,3434000000.0,25820000000.0,6704000000.0,
Minority Interests,-331000000.0,-344000000.0,-1040000000.0,-78000000.0,
Net Income Including Noncontrolling Interests,6288000000.0,3778000000.0,26860000000.0,6782000000.0,
Net Income Continuous Operations,6288000000.0,3778000000.0,26860000000.0,6782000000.0,
Tax Provision,1493000000.0,1491000000.0,705000000.0,1615000000.0,
Pretax Income,7781000000.0,5269000000.0,27565000000.0,8397000000.0,
Other Income Expense,216672000000.0,-1740000000.0,-175425000000.0,2330000000.0,
Other Non Operating Income Expenses,,,-165150000000.0,2188000000.0,-42000000.0
Special Income Charges,13000000.0,24000000.0,-37475000000.0,1662000000.0,
Gain On Sale Of Business,,24000000.0,-7495000000.0,1662000000.0,0.0
Other Special Charges,-13000000.0,-24000000.0,29980000000.0,-3324000000.0,
Gain On Sale Of Security,,-1764000000.0,27200000000.0,668000000.0,15723000000.0
Net Non Operating Interest Income Expense,-1408000000.0,-1435000000.0,-108450000000.0,-1228000000.0,
Total Other Finance Cost,,,101220000000.0,4912000000.0,18120000000.0
Interest Expense Non Operating,1408000000.0,1435000000.0,7230000000.0,1228000000.0,
Operating Income,,8444000000.0,-88600000000.0,7295000000.0,15570000000.0
Operating Expense,,16547000000.0,688875000000.0,15050000000.0,177048000000.0
Other Operating Expenses,214991000000.0,182509000000.0,478340000000.0,30124000000.0,
Depreciation Amortization Depletion Income Statement,,1703000000.0,136425000000.0,1876000000.0,35964000000.0
Depreciation And Amortization In Income Statement,1743000000.0,1703000000.0,45475000000.0,1876000000.0,
Amortization,1743000000.0,1703000000.0,9095000000.0,1876000000.0,
Amortization Of Intangibles Income Statement,,1703000000.0,9095000000.0,1876000000.0,5994000000.0
Selling General And Administration,14617000000.0,14844000000.0,74110000000.0,13174000000.0,
Gross Profit,,24991000000.0,600275000000.0,22345000000.0,192618000000.0
Cost Of Revenue,,221157000000.0,4252200000000.0,157018000000.0,1360062000000.0
Total Revenue,274876000000.0,246148000000.0,4852475000000.0,179363000000.0,
Operating Revenue,274876000000.0,231358000000.0,907400000000.0,168482000000.0,
Loss Adjustment Expense,34349000000.0,38648000000.0,36287000000.0,32184000000.0,
Net Policyholder Benefits And Claims,34349000000.0,38648000000.0,36287000000.0,32184000000.0,
