,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Ordinary Shares Number,139978000.0,150201000.0,153558000.0,157056000.0,
Share Issued,139978000.0,150201000.0,153558000.0,157056000.0,
Total Debt,375194000.0,276975000.0,266879000.0,246488000.0,
Tangible Book Value,2470005000.0,2483324000.0,2066395000.0,1714286000.0,
Invested Capital,2499638000.0,2513013000.0,2107468000.0,1765733000.0,
Working Capital,2046346000.0,2090534000.0,1723490000.0,1412873000.0,
Net Tangible Assets,2470005000.0,2483324000.0,2066395000.0,1714286000.0,
Capital Lease Obligations,375194000.0,276975000.0,266879000.0,246488000.0,
Common Stock Equity,2499638000.0,2513013000.0,2107468000.0,1765733000.0,
Total Capitalization,2499638000.0,2513013000.0,2107468000.0,1765733000.0,
Total Equity Gross Minority Interest,2499638000.0,2513013000.0,2107468000.0,1765733000.0,
Stockholders Equity,2499638000.0,2513013000.0,2107468000.0,1765733000.0,
Gains Losses Not Affecting Retained Earnings,-35919000.0,-49654000.0,-50733000.0,-39035000.0,
Other Equity Adjustments,-35919000.0,-49654000.0,-50733000.0,-39035000.0,
Retained Earnings,2246362000.0,2307699000.0,1913615000.0,1571574000.0,
Additional Paid In Capital,287795000.0,253466000.0,243050000.0,232932000.0,
Capital Stock,1400000.0,1502000.0,1536000.0,262000.0,
Common Stock,1400000.0,1502000.0,1536000.0,262000.0,
Total Liabilities Net Minority Interest,1188127000.0,1057239000.0,1028111000.0,790470000.0,
Total Non Current Liabilities Net Minority Interest,384053000.0,287298000.0,308118000.0,293090000.0,
Other Non Current Liabilities,66477000.0,51189000.0,42350000.0,35335000.0,
Tradeand Other Payables Non Current,26313000.0,13587000.0,52470000.0,62032000.0,
Long Term Debt And Capital Lease Obligation,291263000.0,222522000.0,213298000.0,195723000.0,
Long Term Capital Lease Obligation,291263000.0,222522000.0,213298000.0,195723000.0,
Current Liabilities,804074000.0,769941000.0,719993000.0,497380000.0,
Current Debt And Capital Lease Obligation,83931000.0,54453000.0,53581000.0,50765000.0,
Current Capital Lease Obligation,83931000.0,54453000.0,53581000.0,50765000.0,
Payables And Accrued Expenses,720143000.0,715488000.0,666412000.0,446615000.0,
Current Accrued Expenses,290770000.0,267537000.0,230438000.0,150534000.0,
Payables,429373000.0,447951000.0,435974000.0,296081000.0,
Total Tax Payable,44844000.0,29996000.0,57471000.0,30476000.0,
Income Tax Payable,36475000.0,23299000.0,52338000.0,17322000.0,
Accounts Payable,384529000.0,417955000.0,378503000.0,265605000.0,
Total Assets,3687765000.0,3570252000.0,3135579000.0,2556203000.0,
Total Non Current Assets,837345000.0,709777000.0,692096000.0,645950000.0,
Other Non Current Assets,66331000.0,39546000.0,50648000.0,41930000.0,
Non Current Deferred Assets,68501000.0,77591000.0,72584000.0,72592000.0,
Non Current Deferred Taxes Assets,68501000.0,77591000.0,72584000.0,72592000.0,
Goodwill And Other Intangible Assets,29633000.0,29689000.0,41073000.0,51447000.0,
Other Intangible Assets,15643000.0,15699000.0,27083000.0,37457000.0,
Goodwill,13990000.0,13990000.0,13990000.0,13990000.0,
Net PPE,672880000.0,562951000.0,527791000.0,479981000.0,
Accumulated Depreciation,-457173000.0,-402964000.0,-349138000.0,-317508000.0,
Gross PPE,1130053000.0,965915000.0,876929000.0,797489000.0,
Leases,179482000.0,137806000.0,128356000.0,118351000.0,
Construction In Progress,10844000.0,47080000.0,14758000.0,54140000.0,
Other Properties,335098000.0,237352000.0,225669000.0,213302000.0,
Machinery Furniture Equipment,507775000.0,469714000.0,435224000.0,342641000.0,
Buildings And Improvements,63990000.0,41099000.0,40058000.0,36191000.0,
Land And Improvements,32864000.0,32864000.0,32864000.0,32864000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2850420000.0,2860475000.0,2443483000.0,1910253000.0,
Other Current Assets,82114000.0,67282000.0,92713000.0,55523000.0,
Prepaid Assets,53236000.0,39294000.0,34284000.0,33788000.0,
Inventory,487018000.0,495226000.0,474311000.0,532852000.0,
Inventories Adjustments Allowances,,,-44274000.0,-33926000.0,-20735000.0
Other Inventories,,,518585000.0,566778000.0,527531000.0
Receivables,320803000.0,369485000.0,340124000.0,306295000.0,
Taxes Receivable,1825000.0,36613000.0,43559000.0,4784000.0,
Accounts Receivable,318978000.0,332872000.0,296565000.0,301511000.0,
Allowance For Doubtful Accounts Receivable,-38198000.0,-32883000.0,-27331000.0,-32504000.0,
Gross Accounts Receivable,357176000.0,365755000.0,323896000.0,334015000.0,
Cash Cash Equivalents And Short Term Investments,1907249000.0,1889188000.0,1502051000.0,981795000.0,
Cash And Cash Equivalents,1907249000.0,1889188000.0,1502051000.0,981795000.0,
