,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.228,0.223,0.224097,0.224087
Normalized EBITDA,1404659000.0,1316169000.0,1039092000.0,716869000.0
Net Income From Continuing Operation Net Minority Interest,1024071000.0,966091000.0,759563000.0,516822000.0
Reconciled Depreciation,75773000.0,69353000.0,57587000.0,47345000.0
Reconciled Cost Of Revenue,2314570000.0,2099949000.0,1902275000.0,1801916000.0
EBITDA,1404659000.0,1316169000.0,1039092000.0,716869000.0
EBIT,1328886000.0,1246816000.0,981505000.0,669524000.0
Net Interest Income,61083000.0,64872000.0,49644000.0,12121000.0
Interest Expense,2530000.0,3517000.0,2564000.0,3442000.0
Interest Income,63613000.0,68389000.0,52208000.0,15563000.0
Normalized Income,1024071000.0,966091000.0,759563000.0,516822000.0
Net Income From Continuing And Discontinued Operation,1024071000.0,966091000.0,759563000.0,516822000.0
Total Expenses,4209393000.0,3806520000.0,3360249000.0,2974535000.0
Total Operating Income As Reported,1262903000.0,1179092000.0,927514000.0,652751000.0
Diluted Average Shares,145805000.0,152670000.0,156288000.0,160116000.0
Basic Average Shares,145498000.0,151992000.0,155226000.0,159024000.0
Diluted EPS,7.02,6.33,4.86,3.228333
Basic EPS,7.04,6.36,4.893333,3.25
Diluted NI Availto Com Stockholders,1024071000.0,966091000.0,759563000.0,516822000.0
Net Income Common Stockholders,1024071000.0,966091000.0,759563000.0,516822000.0
Net Income,1024071000.0,966091000.0,759563000.0,516822000.0
Net Income Including Noncontrolling Interests,1024071000.0,966091000.0,759563000.0,516822000.0
Net Income Continuous Operations,1024071000.0,966091000.0,759563000.0,516822000.0
Tax Provision,302285000.0,277208000.0,219378000.0,149260000.0
Pretax Income,1326356000.0,1243299000.0,978941000.0,666082000.0
Other Income Expense,2370000.0,-665000.0,1783000.0,1210000.0
Other Non Operating Income Expenses,2370000.0,-665000.0,1783000.0,1210000.0
Net Non Operating Interest Income Expense,61083000.0,64872000.0,49644000.0,12121000.0
Interest Expense Non Operating,2530000.0,3517000.0,2564000.0,3442000.0
Interest Income Non Operating,63613000.0,68389000.0,52208000.0,15563000.0
Operating Income,1262903000.0,1179092000.0,927514000.0,652751000.0
Operating Expense,1894823000.0,1706571000.0,1457974000.0,1172619000.0
Selling General And Administration,1894823000.0,1706571000.0,1457974000.0,1172619000.0
Gross Profit,3157726000.0,2885663000.0,2385488000.0,1825370000.0
Cost Of Revenue,2314570000.0,2099949000.0,1902275000.0,1801916000.0
Total Revenue,5472296000.0,4985612000.0,4287763000.0,3627286000.0
Operating Revenue,5472296000.0,4985612000.0,4287763000.0,3627286000.0
