,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Ordinary Shares Number,250710000.0,252315000.0,266378719.0,273000000.0,
Share Issued,250710000.0,252315000.0,266378719.0,273000000.0,
Total Debt,1548000000.0,1951000000.0,1948000000.0,1946000000.0,
Tangible Book Value,1181000000.0,717000000.0,1734000000.0,1295000000.0,
Invested Capital,8249000000.0,8270000000.0,9395000000.0,9173000000.0,
Working Capital,176000000.0,-183000000.0,1157000000.0,684000000.0,
Net Tangible Assets,1181000000.0,717000000.0,1734000000.0,1295000000.0,
Capital Lease Obligations,63000000.0,67000000.0,66000000.0,66000000.0,
Common Stock Equity,6764000000.0,6386000000.0,7513000000.0,7293000000.0,
Total Capitalization,8249000000.0,7870000000.0,9395000000.0,9173000000.0,
Total Equity Gross Minority Interest,6764000000.0,6386000000.0,7513000000.0,7293000000.0,
Stockholders Equity,6764000000.0,6386000000.0,7513000000.0,7293000000.0,
Gains Losses Not Affecting Retained Earnings,-102000000.0,-87000000.0,-72000000.0,-67000000.0,
Other Equity Adjustments,-102000000.0,-87000000.0,-72000000.0,-67000000.0,
Retained Earnings,6607000000.0,6470000000.0,7582000000.0,7357000000.0,
Additional Paid In Capital,256000000.0,0.0,0.0,0.0,
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,6367000000.0,5982000000.0,5907000000.0,6166000000.0,
Total Non Current Liabilities Net Minority Interest,2570000000.0,2523000000.0,2817000000.0,2881000000.0,
Other Non Current Liabilities,481000000.0,445000000.0,438000000.0,393000000.0,
Tradeand Other Payables Non Current,604000000.0,594000000.0,497000000.0,607000000.0,
Non Current Deferred Liabilities,,,1000000.0,1000000.0,1000000.0
Non Current Deferred Taxes Liabilities,,,1000000.0,1000000.0,1000000.0
Long Term Debt And Capital Lease Obligation,1485000000.0,1484000000.0,1882000000.0,1880000000.0,
Long Term Debt,1485000000.0,1484000000.0,1882000000.0,1880000000.0,
Current Liabilities,3797000000.0,3459000000.0,3090000000.0,3285000000.0,
Current Deferred Liabilities,2345000000.0,1794000000.0,1873000000.0,2004000000.0,
Current Deferred Revenue,2345000000.0,1794000000.0,1873000000.0,2004000000.0,
Current Debt And Capital Lease Obligation,63000000.0,467000000.0,66000000.0,66000000.0,
Current Capital Lease Obligation,63000000.0,67000000.0,66000000.0,66000000.0,
Current Debt,,400000000.0,,,
Other Current Borrowings,,400000000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,563000000.0,486000000.0,476000000.0,436000000.0,
Current Provisions,81000000.0,84000000.0,90000000.0,90000000.0,
Payables And Accrued Expenses,745000000.0,628000000.0,585000000.0,689000000.0,
Current Accrued Expenses,617000000.0,523000000.0,475000000.0,590000000.0,
Payables,128000000.0,105000000.0,110000000.0,99000000.0,
Accounts Payable,128000000.0,105000000.0,110000000.0,99000000.0,
Total Assets,13131000000.0,12368000000.0,13420000000.0,13459000000.0,
Total Non Current Assets,9158000000.0,9092000000.0,9173000000.0,9490000000.0,
Other Non Current Assets,529000000.0,417000000.0,436000000.0,481000000.0,
Non Current Deferred Assets,2433000000.0,2420000000.0,2380000000.0,2462000000.0,
Non Current Deferred Taxes Assets,2433000000.0,2420000000.0,2380000000.0,2462000000.0,
Goodwill And Other Intangible Assets,5583000000.0,5669000000.0,5779000000.0,5998000000.0,
Other Intangible Assets,195000000.0,293000000.0,400000000.0,618000000.0,
Goodwill,5388000000.0,5376000000.0,5379000000.0,5380000000.0,
Net PPE,613000000.0,586000000.0,578000000.0,549000000.0,
Accumulated Depreciation,-1357000000.0,-1251000000.0,-1159000000.0,-1067000000.0,
Gross PPE,1970000000.0,1837000000.0,1737000000.0,1616000000.0,
Leases,237000000.0,229000000.0,190000000.0,186000000.0,
Construction In Progress,38000000.0,21000000.0,47000000.0,11000000.0,
Machinery Furniture Equipment,1236000000.0,1142000000.0,1057000000.0,984000000.0,
Buildings And Improvements,393000000.0,379000000.0,376000000.0,369000000.0,
Land And Improvements,66000000.0,66000000.0,67000000.0,66000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,3973000000.0,3276000000.0,4247000000.0,3969000000.0,
Other Current Assets,361000000.0,349000000.0,420000000.0,518000000.0,
Receivables,632000000.0,679000000.0,565000000.0,684000000.0,
Accounts Receivable,632000000.0,679000000.0,565000000.0,684000000.0,
Cash Cash Equivalents And Short Term Investments,2980000000.0,2248000000.0,3262000000.0,2767000000.0,
Other Short Term Investments,116000000.0,112000000.0,362000000.0,343000000.0,
Cash And Cash Equivalents,2864000000.0,2136000000.0,2900000000.0,2424000000.0,
