,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,744000.0,-12382000.0,-11932032.724984,-43073906.485671
Tax Rate For Calcs,0.248,0.302,0.198867,0.395173
Normalized EBITDA,1553000000.0,2060000000.0,2111000000.0,2029000000.0
Total Unusual Items,3000000.0,-41000000.0,-60000000.0,-109000000.0
Total Unusual Items Excluding Goodwill,3000000.0,-41000000.0,-60000000.0,-109000000.0
Net Income From Continuing Operation Net Minority Interest,887000000.0,1121000000.0,1273000000.0,802000000.0
Reconciled Depreciation,323000000.0,356000000.0,404000000.0,536000000.0
Reconciled Cost Of Revenue,1327000000.0,1254000000.0,1448000000.0,1414000000.0
EBITDA,1556000000.0,2019000000.0,2051000000.0,1920000000.0
EBIT,1233000000.0,1663000000.0,1647000000.0,1384000000.0
Net Interest Income,17000000.0,67000000.0,68000000.0,-9000000.0
Interest Expense,53000000.0,58000000.0,58000000.0,58000000.0
Interest Income,70000000.0,125000000.0,126000000.0,49000000.0
Normalized Income,884744000.0,1149618000.0,1321067967.275016,867926093.514329
Net Income From Continuing And Discontinued Operation,887000000.0,1121000000.0,1273000000.0,802000000.0
Total Expenses,6369000000.0,5886000000.0,5982000000.0,5983000000.0
Total Operating Income As Reported,1162000000.0,1520000000.0,1518000000.0,1332000000.0
Diluted Average Shares,253000000.0,264000000.0,272000000.0,278000000.0
Basic Average Shares,250000000.0,262000000.0,270000000.0,277000000.0
Diluted EPS,3.51,4.25,4.68,2.88
Basic EPS,3.55,4.28,4.71,2.9
Diluted NI Availto Com Stockholders,887000000.0,1121000000.0,1273000000.0,802000000.0
Net Income Common Stockholders,887000000.0,1121000000.0,1273000000.0,802000000.0
Net Income,887000000.0,1121000000.0,1273000000.0,802000000.0
Net Income Including Noncontrolling Interests,887000000.0,1121000000.0,1273000000.0,802000000.0
Net Income Continuous Operations,887000000.0,1121000000.0,1273000000.0,802000000.0
Tax Provision,293000000.0,484000000.0,316000000.0,524000000.0
Pretax Income,1180000000.0,1605000000.0,1589000000.0,1326000000.0
Other Income Expense,1000000.0,-39000000.0,-59000000.0,-108000000.0
Other Non Operating Income Expenses,-2000000.0,2000000.0,1000000.0,1000000.0
Special Income Charges,0.0,-57000000.0,-62000000.0,-111000000.0
Restructuring And Mergern Acquisition,0.0,57000000.0,62000000.0,111000000.0
Gain On Sale Of Security,3000000.0,16000000.0,2000000.0,2000000.0
Net Non Operating Interest Income Expense,17000000.0,67000000.0,68000000.0,-9000000.0
Interest Expense Non Operating,53000000.0,58000000.0,58000000.0,58000000.0
Interest Income Non Operating,70000000.0,125000000.0,126000000.0,49000000.0
Operating Income,1162000000.0,1577000000.0,1580000000.0,1443000000.0
Operating Expense,4785000000.0,4343000000.0,4272000000.0,4191000000.0
Depreciation Amortization Depletion Income Statement,66000000.0,67000000.0,142000000.0,158000000.0
Depreciation And Amortization In Income Statement,66000000.0,67000000.0,142000000.0,158000000.0
Amortization,66000000.0,67000000.0,142000000.0,158000000.0
Amortization Of Intangibles Income Statement,66000000.0,67000000.0,142000000.0,158000000.0
Research And Development,2828000000.0,2569000000.0,2420000000.0,2328000000.0
Selling General And Administration,1891000000.0,1707000000.0,1710000000.0,1705000000.0
Selling And Marketing Expense,1128000000.0,962000000.0,1019000000.0,978000000.0
General And Administrative Expense,763000000.0,745000000.0,691000000.0,727000000.0
Other Gand A,763000000.0,745000000.0,691000000.0,727000000.0
Gross Profit,5947000000.0,5920000000.0,5852000000.0,5634000000.0
Cost Of Revenue,1584000000.0,1543000000.0,1710000000.0,1792000000.0
Total Revenue,7531000000.0,7463000000.0,7562000000.0,7426000000.0
Operating Revenue,7531000000.0,7463000000.0,7562000000.0,7426000000.0
