,2025-05-31,2024-05-31
Ordinary Shares Number,148906159.0,148906159.0
Share Issued,148906159.0,148906159.0
Total Debt,1436000000.0,1451000000.0
Tangible Book Value,3131000000.0,1522000000.0
Invested Capital,3733000000.0,2124000000.0
Working Capital,579000000.0,-744000000.0
Net Tangible Assets,3131000000.0,1522000000.0
Capital Lease Obligations,1436000000.0,1451000000.0
Common Stock Equity,3733000000.0,2124000000.0
Total Capitalization,3733000000.0,2124000000.0
Total Equity Gross Minority Interest,3733000000.0,2124000000.0
Stockholders Equity,3733000000.0,2124000000.0
Retained Earnings,3733000000.0,2124000000.0
Additional Paid In Capital,,0.0
Capital Stock,,0.0
Common Stock,,0.0
Total Liabilities Net Minority Interest,2468000000.0,2924000000.0
Total Non Current Liabilities Net Minority Interest,1702000000.0,1875000000.0
Other Non Current Liabilities,52000000.0,46000000.0
Non Current Accrued Expenses,67000000.0,295000000.0
Non Current Deferred Liabilities,328000000.0,250000000.0
Non Current Deferred Taxes Liabilities,328000000.0,250000000.0
Long Term Debt And Capital Lease Obligation,1255000000.0,1284000000.0
Long Term Capital Lease Obligation,1255000000.0,1284000000.0
Current Liabilities,766000000.0,1049000000.0
Current Debt And Capital Lease Obligation,181000000.0,167000000.0
Current Capital Lease Obligation,181000000.0,167000000.0
Payables And Accrued Expenses,585000000.0,882000000.0
Current Accrued Expenses,435000000.0,487000000.0
Payables,150000000.0,395000000.0
Dueto Related Parties Current,0.0,254000000.0
Accounts Payable,150000000.0,141000000.0
Total Assets,6201000000.0,5048000000.0
Total Non Current Assets,4856000000.0,4743000000.0
Other Non Current Assets,38000000.0,7000000.0
Goodwill And Other Intangible Assets,602000000.0,602000000.0
Goodwill,602000000.0,602000000.0
Net PPE,4216000000.0,4134000000.0
Accumulated Depreciation,-3696000000.0,-3579000000.0
Gross PPE,7912000000.0,7713000000.0
Other Properties,2502000000.0,2388000000.0
Machinery Furniture Equipment,1538000000.0,1408000000.0
Current Assets,1345000000.0,305000000.0
Other Current Assets,43000000.0,35000000.0
Inventory,21000000.0,25000000.0
Receivables,1172000000.0,139000000.0
Accounts Receivable,1172000000.0,139000000.0
Allowance For Doubtful Accounts Receivable,,-11000000.0
Gross Accounts Receivable,,150000000.0
Cash Cash Equivalents And Short Term Investments,109000000.0,106000000.0
Cash And Cash Equivalents,109000000.0,106000000.0
Cash Financial,109000000.0,106000000.0
