,2025-05-31,2024-05-31,2023-05-31
Free Cash Flow,1094000000.0,1080000000.0,1194000000.0
Repayment Of Debt,-63000000.0,-1000000.0,-1000000.0
Capital Expenditure,-437000000.0,-461000000.0,-558000000.0
End Cash Position,109000000.0,106000000.0,93000000.0
Beginning Cash Position,106000000.0,93000000.0,98000000.0
Effect Of Exchange Rate Changes,-3000000.0,1000000.0,1000000.0
Changes In Cash,6000000.0,12000000.0,-6000000.0
Financing Cash Flow,-1140000000.0,-1126000000.0,-1256000000.0
Cash Flow From Continuing Financing Activities,-1140000000.0,-1126000000.0,-1256000000.0
Net Other Financing Charges,-1077000000.0,-1125000000.0,-1255000000.0
Net Issuance Payments Of Debt,-63000000.0,-1000000.0,-1000000.0
Net Long Term Debt Issuance,-63000000.0,-1000000.0,-1000000.0
Long Term Debt Payments,-63000000.0,-1000000.0,-1000000.0
Investing Cash Flow,-385000000.0,-403000000.0,-502000000.0
Cash Flow From Continuing Investing Activities,-385000000.0,-403000000.0,-502000000.0
Net Other Investing Changes,52000000.0,58000000.0,56000000.0
Capital Expenditure Reported,-437000000.0,-461000000.0,-558000000.0
Operating Cash Flow,1531000000.0,1541000000.0,1752000000.0
Cash Flow From Continuing Operating Activities,1531000000.0,1541000000.0,1752000000.0
Change In Working Capital,-488000000.0,-617000000.0,-531000000.0
Change In Other Working Capital,6000000.0,,-250000000.0
Change In Other Current Assets,16000000.0,22000000.0,-38000000.0
Change In Payables And Accrued Expense,-510000000.0,-630000000.0,-266000000.0
Change In Payable,-510000000.0,-630000000.0,-266000000.0
Change In Account Payable,-255000000.0,-233000000.0,-327000000.0
Change In Receivables,0.0,-9000000.0,23000000.0
Other Non Cash Items,228000000.0,157000000.0,293000000.0
Stock Based Compensation,10000000.0,12000000.0,13000000.0
Provisionand Write Offof Assets,19000000.0,11000000.0,9000000.0
Depreciation Amortization Depletion,416000000.0,404000000.0,387000000.0
Depreciation And Amortization,416000000.0,404000000.0,387000000.0
Net Income From Continuing Operations,1346000000.0,1574000000.0,1581000000.0
