,2025-05-31,2024-05-31,2023-05-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.253,0.243,0.244
Normalized EBITDA,1755000000.0,2157000000.0,2281000000.0
Net Income From Continuing Operation Net Minority Interest,1079000000.0,1574000000.0,1581000000.0
Reconciled Depreciation,416000000.0,404000000.0,387000000.0
Reconciled Cost Of Revenue,6120000000.0,6150000000.0,6448000000.0
EBITDA,1755000000.0,2157000000.0,2281000000.0
EBIT,1339000000.0,1753000000.0,1894000000.0
Net Interest Income,0.0,330000000.0,187000000.0
Interest Income,0.0,330000000.0,187000000.0
Normalized Income,1079000000.0,1574000000.0,1581000000.0
Net Income From Continuing And Discontinued Operation,1079000000.0,1574000000.0,1581000000.0
Total Expenses,7548000000.0,7671000000.0,8190000000.0
Rent Expense Supplemental,295000000.0,287000000.0,277000000.0
Total Operating Income As Reported,1339000000.0,1753000000.0,1894000000.0
Diluted Average Shares,148906159.0,148906159.0,148906159.0
Basic Average Shares,148906159.0,148906159.0,148906159.0
Diluted EPS,7.246174,10.570416,10.617425
Basic EPS,7.246174,10.570416,10.617425
Diluted NI Availto Com Stockholders,1079000000.0,1574000000.0,1581000000.0
Net Income Common Stockholders,1079000000.0,1574000000.0,1581000000.0
Net Income,1079000000.0,1574000000.0,1581000000.0
Net Income Including Noncontrolling Interests,1079000000.0,1574000000.0,1581000000.0
Net Income Continuous Operations,1079000000.0,1574000000.0,1581000000.0
Tax Provision,368000000.0,505000000.0,509000000.0
Pretax Income,1447000000.0,2079000000.0,2090000000.0
Other Income Expense,108000000.0,-4000000.0,9000000.0
Other Non Operating Income Expenses,108000000.0,-4000000.0,9000000.0
Net Non Operating Interest Income Expense,0.0,330000000.0,187000000.0
Interest Income Non Operating,0.0,330000000.0,187000000.0
Operating Income,1339000000.0,1753000000.0,1894000000.0
Operating Expense,1428000000.0,1521000000.0,1742000000.0
Other Operating Expenses,1428000000.0,1521000000.0,1742000000.0
Gross Profit,2767000000.0,3274000000.0,3636000000.0
Cost Of Revenue,6120000000.0,6150000000.0,6448000000.0
Total Revenue,8887000000.0,9424000000.0,10084000000.0
Operating Revenue,8887000000.0,9424000000.0,10084000000.0
