,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Ordinary Shares Number,598000000.0,617000000.0,623000000.0,640000000.0,
Share Issued,598000000.0,617000000.0,623000000.0,640000000.0,
Net Debt,7794000000.0,7253000000.0,7758000000.0,9012000000.0,
Total Debt,8260000000.0,8315000000.0,8655000000.0,9819000000.0,
Tangible Book Value,-10481000000.0,-10235000000.0,-10708000000.0,-11114000000.0,
Invested Capital,10807000000.0,10528000000.0,10744000000.0,11962000000.0,
Working Capital,-1629000000.0,-1407000000.0,-1368000000.0,-1616000000.0,
Net Tangible Assets,-10481000000.0,-10235000000.0,-10708000000.0,-11114000000.0,
Capital Lease Obligations,64000000.0,56000000.0,51000000.0,57000000.0,
Common Stock Equity,2611000000.0,2269000000.0,2140000000.0,2200000000.0,
Total Capitalization,10626000000.0,10237000000.0,10569000000.0,11729000000.0,
Total Equity Gross Minority Interest,2611000000.0,2269000000.0,2140000000.0,2200000000.0,
Stockholders Equity,2611000000.0,2269000000.0,2140000000.0,2200000000.0,
Gains Losses Not Affecting Retained Earnings,1000000.0,-33000000.0,11000000.0,-15000000.0,
Other Equity Adjustments,1000000.0,-33000000.0,11000000.0,-15000000.0,
Retained Earnings,269000000.0,236000000.0,-98000000.0,-585000000.0,
Capital Stock,2341000000.0,2066000000.0,2227000000.0,2800000000.0,
Common Stock,2341000000.0,2066000000.0,2227000000.0,2800000000.0,
Total Liabilities Net Minority Interest,12978000000.0,13226000000.0,13653000000.0,13747000000.0,
Total Non Current Liabilities Net Minority Interest,10268000000.0,10375000000.0,10927000000.0,10898000000.0,
Other Non Current Liabilities,45000000.0,45000000.0,47000000.0,43000000.0,
Non Current Accrued Expenses,304000000.0,601000000.0,586000000.0,0.0,
Tradeand Other Payables Non Current,1588000000.0,1420000000.0,1490000000.0,820000000.0,
Non Current Deferred Liabilities,271000000.0,299000000.0,337000000.0,475000000.0,
Non Current Deferred Revenue,73000000.0,77000000.0,76000000.0,80000000.0,
Non Current Deferred Taxes Liabilities,198000000.0,222000000.0,261000000.0,395000000.0,
Long Term Debt And Capital Lease Obligation,8060000000.0,8010000000.0,8467000000.0,9560000000.0,
Long Term Capital Lease Obligation,45000000.0,42000000.0,38000000.0,31000000.0,
Long Term Debt,8015000000.0,7968000000.0,8429000000.0,9529000000.0,
Current Liabilities,2710000000.0,2851000000.0,2726000000.0,2849000000.0,
Other Current Liabilities,32000000.0,,,,
Current Deferred Liabilities,1904000000.0,1846000000.0,1808000000.0,1708000000.0,
Current Deferred Revenue,1904000000.0,1846000000.0,1808000000.0,1708000000.0,
Current Debt And Capital Lease Obligation,200000000.0,305000000.0,188000000.0,259000000.0,
Current Capital Lease Obligation,19000000.0,14000000.0,13000000.0,26000000.0,
Current Debt,181000000.0,291000000.0,175000000.0,233000000.0,
Other Current Borrowings,181000000.0,291000000.0,175000000.0,233000000.0,
Pensionand Other Post Retirement Benefit Plans Current,115000000.0,105000000.0,78000000.0,102000000.0,
Payables And Accrued Expenses,459000000.0,595000000.0,652000000.0,780000000.0,
Current Accrued Expenses,185000000.0,181000000.0,316000000.0,455000000.0,
Interest Payable,6000000.0,86000000.0,78000000.0,27000000.0,
Payables,274000000.0,414000000.0,336000000.0,325000000.0,
Total Tax Payable,178000000.0,320000000.0,270000000.0,248000000.0,
Income Tax Payable,47000000.0,215000000.0,198000000.0,172000000.0,
Accounts Payable,96000000.0,94000000.0,66000000.0,77000000.0,
Total Assets,15589000000.0,15495000000.0,15793000000.0,15947000000.0,
Total Non Current Assets,14508000000.0,14051000000.0,14435000000.0,14714000000.0,
Other Non Current Assets,38000000.0,45000000.0,66000000.0,47000000.0,
Non Current Prepaid Assets,,5000000.0,21000000.0,36000000.0,53000000.0
Non Current Deferred Assets,1153000000.0,1218000000.0,1236000000.0,353000000.0,
Non Current Deferred Taxes Assets,1153000000.0,1218000000.0,1236000000.0,353000000.0,
Non Current Accounts Receivable,84000000.0,66000000.0,11000000.0,669000000.0,
Investments And Advances,16000000.0,109000000.0,136000000.0,176000000.0,
Investmentin Financial Assets,16000000.0,109000000.0,136000000.0,176000000.0,
Available For Sale Securities,16000000.0,109000000.0,136000000.0,176000000.0,
Goodwill And Other Intangible Assets,13092000000.0,12504000000.0,12848000000.0,13314000000.0,
Other Intangible Assets,2096000000.0,2267000000.0,2638000000.0,3097000000.0,
Goodwill,10996000000.0,10237000000.0,10210000000.0,10217000000.0,
Net PPE,125000000.0,109000000.0,117000000.0,119000000.0,
Accumulated Depreciation,-393000000.0,-382000000.0,-512000000.0,-509000000.0,
Gross PPE,518000000.0,491000000.0,629000000.0,628000000.0,
Leases,37000000.0,37000000.0,35000000.0,28000000.0,
Construction In Progress,11000000.0,2000000.0,1000000.0,1000000.0,
Other Properties,54000000.0,49000000.0,45000000.0,43000000.0,
Machinery Furniture Equipment,389000000.0,376000000.0,507000000.0,515000000.0,
Buildings And Improvements,15000000.0,15000000.0,28000000.0,28000000.0,
Land And Improvements,12000000.0,12000000.0,13000000.0,13000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,1081000000.0,1444000000.0,1358000000.0,1233000000.0,
Other Current Assets,79000000.0,18000000.0,17000000.0,23000000.0,
Assets Held For Sale Current,14000000.0,22000000.0,15000000.0,31000000.0,
Restricted Cash,9000000.0,0.0,,,
Prepaid Assets,154000000.0,136000000.0,142000000.0,122000000.0,
Receivables,423000000.0,262000000.0,338000000.0,307000000.0,
Taxes Receivable,72000000.0,91000000.0,175000000.0,139000000.0,
Notes Receivable,135000000.0,0.0,,,
Accounts Receivable,216000000.0,171000000.0,163000000.0,168000000.0,
Allowance For Doubtful Accounts Receivable,-9000000.0,-2000000.0,-2000000.0,-1000000.0,
Gross Accounts Receivable,225000000.0,173000000.0,165000000.0,169000000.0,
Cash Cash Equivalents And Short Term Investments,402000000.0,1006000000.0,846000000.0,750000000.0,
Other Short Term Investments,,,,0.0,4000000.0
Cash And Cash Equivalents,402000000.0,1006000000.0,846000000.0,750000000.0,
Cash Equivalents,119000000.0,544000000.0,438000000.0,174000000.0,
Cash Financial,283000000.0,462000000.0,408000000.0,576000000.0,
