,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,1523000000.0,1206000000.0,2044000000.0,751000000.0,
Repurchase Of Capital Stock,-634000000.0,-272000000.0,-441000000.0,-904000000.0,
Repayment Of Debt,-3620000000.0,-1311000000.0,-1183000000.0,-3047000000.0,
Issuance Of Debt,3475000000.0,941000000.0,0.0,8954000000.0,
Capital Expenditure,-22000000.0,-15000000.0,-20000000.0,-6000000.0,
Interest Paid Supplemental Data,626000000.0,557000000.0,607000000.0,,
Income Tax Paid Supplemental Data,445000000.0,425000000.0,,,
End Cash Position,411000000.0,1006000000.0,846000000.0,750000000.0,
Beginning Cash Position,1006000000.0,846000000.0,750000000.0,1887000000.0,
Effect Of Exchange Rate Changes,4000000.0,9000000.0,-9000000.0,-28000000.0,
Changes In Cash,-599000000.0,151000000.0,105000000.0,-1109000000.0,
Financing Cash Flow,-1133000000.0,-970000000.0,-1961000000.0,4681000000.0,
Cash Flow From Continuing Financing Activities,-1133000000.0,-970000000.0,-1961000000.0,4681000000.0,
Net Other Financing Charges,-55000000.0,-26000000.0,-26000000.0,-20000000.0,
Proceeds From Stock Option Exercised,13000000.0,11000000.0,12000000.0,12000000.0,
Cash Dividends Paid,-312000000.0,-313000000.0,-323000000.0,-314000000.0,
Common Stock Dividend Paid,-312000000.0,-313000000.0,-323000000.0,-314000000.0,
Net Common Stock Issuance,-634000000.0,-272000000.0,-441000000.0,-904000000.0,
Common Stock Payments,-634000000.0,-272000000.0,-441000000.0,-904000000.0,
Net Issuance Payments Of Debt,-145000000.0,-370000000.0,-1183000000.0,5907000000.0,
Net Long Term Debt Issuance,-145000000.0,-370000000.0,-1183000000.0,5907000000.0,
Long Term Debt Payments,-3620000000.0,-1311000000.0,-1183000000.0,-3047000000.0,
Long Term Debt Issuance,3475000000.0,941000000.0,0.0,8954000000.0,
Investing Cash Flow,-1011000000.0,-100000000.0,2000000.0,-6547000000.0,
Cash Flow From Continuing Investing Activities,-1011000000.0,-100000000.0,2000000.0,-6547000000.0,
Net Other Investing Changes,9000000.0,3000000.0,-3000000.0,2000000.0,
Net Investment Purchase And Sale,13000000.0,-4000000.0,0.0,4000000.0,
Sale Of Investment,13000000.0,0.0,0.0,4000000.0,
Purchase Of Investment,0.0,-4000000.0,0.0,0.0,
Net Business Purchase And Sale,-1032000000.0,-84000000.0,0.0,-6547000000.0,
Sale Of Business,,,,,0.0
Purchase Of Business,-1032000000.0,-84000000.0,0.0,-6547000000.0,
Net PPE Purchase And Sale,-1000000.0,-15000000.0,5000000.0,-6000000.0,
Sale Of PPE,21000000.0,0.0,25000000.0,0.0,
Purchase Of PPE,-22000000.0,-15000000.0,-20000000.0,-6000000.0,
Operating Cash Flow,1545000000.0,1221000000.0,2064000000.0,757000000.0,
Cash Flow From Continuing Operating Activities,1545000000.0,1221000000.0,2064000000.0,757000000.0,
Change In Working Capital,-647000000.0,-72000000.0,1757000000.0,-954000000.0,
Change In Other Working Capital,82000000.0,63000000.0,23000000.0,10000000.0,
Change In Other Current Liabilities,-364000000.0,-114000000.0,432000000.0,-137000000.0,
Change In Other Current Assets,-189000000.0,86000000.0,861000000.0,-702000000.0,
Change In Payables And Accrued Expense,-144000000.0,-54000000.0,434000000.0,-136000000.0,
Change In Accrued Expense,,27000000.0,-24000000.0,-6000000.0,-26000000.0
Change In Payable,-144000000.0,-54000000.0,434000000.0,-136000000.0,
Change In Account Payable,-48000000.0,26000000.0,-12000000.0,-8000000.0,
Change In Tax Payable,-96000000.0,-80000000.0,446000000.0,-128000000.0,
Change In Income Tax Payable,-96000000.0,-80000000.0,446000000.0,-128000000.0,
Change In Receivables,-32000000.0,-53000000.0,7000000.0,11000000.0,
Changes In Account Receivables,-32000000.0,-53000000.0,7000000.0,11000000.0,
Other Non Cash Items,270000000.0,95000000.0,58000000.0,25000000.0,
Stock Based Compensation,237000000.0,133000000.0,138000000.0,134000000.0,
Unrealized Gain Loss On Investment Securities,79000000.0,30000000.0,40000000.0,,
Asset Impairment Charge,0.0,7000000.0,-3000000.0,25000000.0,
Deferred Tax,92000000.0,-32000000.0,-991000000.0,-145000000.0,
Deferred Income Tax,92000000.0,-32000000.0,-991000000.0,-145000000.0,
Depreciation Amortization Depletion,493000000.0,419000000.0,485000000.0,329000000.0,
Depreciation And Amortization,493000000.0,419000000.0,485000000.0,329000000.0,
Amortization Cash Flow,477000000.0,401000000.0,462000000.0,308000000.0,
Amortization Of Intangibles,477000000.0,401000000.0,462000000.0,308000000.0,
Depreciation,16000000.0,18000000.0,23000000.0,21000000.0,
Operating Gains Losses,48000000.0,-2000000.0,-27000000.0,9000000.0,
Earnings Losses From Equity Investments,,,,,0.0
Net Foreign Currency Exchange Gain Loss,54000000.0,-2000000.0,-18000000.0,,
Gain Loss On Sale Of PPE,0.0,0.0,-9000000.0,0.0,
Gain Loss On Sale Of Business,,,,,0.0
Net Income From Continuing Operations,973000000.0,643000000.0,607000000.0,1334000000.0,
