,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-37800000.0,-14254616.132167,-17850000.0,-19530000.0,
Tax Rate For Calcs,0.36,0.375121,0.21,0.21,
Normalized EBITDA,2678000000.0,2064000000.0,1686000000.0,1606000000.0,
Total Unusual Items,-105000000.0,-38000000.0,-85000000.0,-93000000.0,
Total Unusual Items Excluding Goodwill,-105000000.0,-38000000.0,-85000000.0,-93000000.0,
Net Income From Continuing Operation Net Minority Interest,973000000.0,643000000.0,607000000.0,1334000000.0,
Reconciled Depreciation,493000000.0,419000000.0,485000000.0,329000000.0,
Reconciled Cost Of Revenue,802000000.0,531000000.0,479000000.0,432000000.0,
EBITDA,2573000000.0,2026000000.0,1601000000.0,1513000000.0,
EBIT,2080000000.0,1607000000.0,1116000000.0,1184000000.0,
Net Interest Income,-544000000.0,-550000000.0,-644000000.0,-386000000.0,
Interest Expense,569000000.0,578000000.0,669000000.0,401000000.0,
Interest Income,25000000.0,28000000.0,25000000.0,15000000.0,
Normalized Income,1040200000.0,666745383.867833,674150000.0,1407470000.0,
Net Income From Continuing And Discontinued Operation,973000000.0,643000000.0,607000000.0,1334000000.0,
Total Expenses,2845000000.0,2315000000.0,2633000000.0,2042000000.0,
Total Operating Income As Reported,2120000000.0,1610000000.0,1110000000.0,1206000000.0,
Diluted Average Shares,,624000000.0,642000000.0,624000000.0,591000000.0
Basic Average Shares,,617000000.0,637000000.0,614000000.0,581000000.0
Diluted EPS,,1.03,0.96,2.16,1.41
Basic EPS,,1.04,0.97,2.2,1.44
Diluted NI Availto Com Stockholders,973000000.0,643000000.0,607000000.0,1334000000.0,
Net Income Common Stockholders,973000000.0,643000000.0,607000000.0,1334000000.0,
Net Income,973000000.0,643000000.0,607000000.0,1334000000.0,
Net Income Including Noncontrolling Interests,973000000.0,643000000.0,607000000.0,1334000000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,973000000.0,643000000.0,607000000.0,1334000000.0,
Tax Provision,538000000.0,386000000.0,-160000000.0,-551000000.0,
Pretax Income,1511000000.0,1029000000.0,447000000.0,783000000.0,
Other Income Expense,-100000000.0,-41000000.0,-76000000.0,-106000000.0,
Other Non Operating Income Expenses,5000000.0,-3000000.0,9000000.0,-13000000.0,
Special Income Charges,-30000000.0,-10000000.0,-48000000.0,-78000000.0,
Gain On Sale Of Ppe,14000000.0,0.0,9000000.0,0.0,
Gain On Sale Of Business,,,,,0.0
Other Special Charges,9000000.0,,,9000000.0,3000000.0
Impairment Of Capital Assets,0.0,3000000.0,0.0,0.0,
Restructuring And Mergern Acquisition,35000000.0,7000000.0,57000000.0,69000000.0,
Earnings From Equity Interest,,,,,0.0
Gain On Sale Of Security,-75000000.0,-28000000.0,-37000000.0,-15000000.0,
Net Non Operating Interest Income Expense,-544000000.0,-550000000.0,-644000000.0,-386000000.0,
Interest Expense Non Operating,569000000.0,578000000.0,669000000.0,401000000.0,
Interest Income Non Operating,25000000.0,28000000.0,25000000.0,15000000.0,
Operating Income,2155000000.0,1620000000.0,1167000000.0,1275000000.0,
Operating Expense,1768000000.0,1539000000.0,1902000000.0,1453000000.0,
Depreciation Amortization Depletion Income Statement,218000000.0,174000000.0,233000000.0,172000000.0,
Depreciation And Amortization In Income Statement,218000000.0,174000000.0,233000000.0,172000000.0,
Amortization,218000000.0,174000000.0,233000000.0,172000000.0,
Amortization Of Intangibles Income Statement,218000000.0,174000000.0,233000000.0,172000000.0,
Research And Development,409000000.0,329000000.0,332000000.0,313000000.0,
Selling General And Administration,1141000000.0,1036000000.0,1337000000.0,968000000.0,
Selling And Marketing Expense,1228000000.0,745000000.0,733000000.0,682000000.0,
General And Administrative Expense,-87000000.0,291000000.0,604000000.0,286000000.0,
Other Gand A,-87000000.0,291000000.0,604000000.0,286000000.0,
Gross Profit,3923000000.0,3159000000.0,3069000000.0,2728000000.0,
Cost Of Revenue,1077000000.0,776000000.0,731000000.0,589000000.0,
Total Revenue,5000000000.0,3935000000.0,3800000000.0,3317000000.0,
Operating Revenue,5000000000.0,3935000000.0,3800000000.0,3317000000.0,
