,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,871000000.0,772100000.0,2607600000.0,3134800000.0,
Repurchase Of Capital Stock,0.0,-96500000.0,-982100000.0,-945800000.0,
Repayment Of Debt,-7444200000.0,-17605700000.0,-17594100000.0,-7405300000.0,
Issuance Of Debt,7316300000.0,17247700000.0,17054800000.0,5935000000.0,
Issuance Of Capital Stock,61700000.0,1514900000.0,82100000.0,82300000.0,
Capital Expenditure,-91100000.0,-126000000.0,-285100000.0,-486200000.0,
Interest Paid Supplemental Data,211100000.0,236200000.0,191200000.0,181500000.0,
Income Tax Paid Supplemental Data,,175200000.0,517100000.0,482600000.0,141400000.0
End Cash Position,240300000.0,771700000.0,319700000.0,234000000.0,
Beginning Cash Position,771700000.0,319700000.0,234000000.0,317400000.0,
Changes In Cash,-531400000.0,452000000.0,85700000.0,-83400000.0,
Financing Cash Flow,-1298000000.0,-158300000.0,-2414900000.0,-3104900000.0,
Cash Flow From Continuing Financing Activities,-1298000000.0,-158300000.0,-2414900000.0,-3104900000.0,
Net Other Financing Charges,-71300000.0,-82900000.0,-64100000.0,-75800000.0,
Proceeds From Stock Option Exercised,-68000000.0,-160100000.0,0.0,0.0,
Cash Dividends Paid,-1092500000.0,-975700000.0,-911500000.0,-695300000.0,
Preferred Stock Dividend Paid,-108500000.0,0.0,0.0,,
Common Stock Dividend Paid,-984000000.0,-975700000.0,-911500000.0,,
Net Preferred Stock Issuance,0.0,1449500000.0,0.0,0.0,
Preferred Stock Issuance,0.0,1449500000.0,0.0,0.0,
Net Common Stock Issuance,61700000.0,-31100000.0,-900000000.0,-863500000.0,
Common Stock Payments,0.0,-96500000.0,-982100000.0,-945800000.0,
Common Stock Issuance,61700000.0,65400000.0,82100000.0,82300000.0,
Net Issuance Payments Of Debt,-127900000.0,-358000000.0,-539300000.0,-1470300000.0,
Net Short Term Debt Issuance,173700000.0,-1176400000.0,1350400000.0,0.0,
Short Term Debt Payments,-6242600000.0,-15113900000.0,-7688700000.0,0.0,
Short Term Debt Issuance,6416300000.0,13937500000.0,9039100000.0,0.0,
Net Long Term Debt Issuance,-301600000.0,818400000.0,-1889700000.0,-1470300000.0,
Long Term Debt Payments,-1201600000.0,-2491800000.0,-9905400000.0,-7405300000.0,
Long Term Debt Issuance,900000000.0,3310200000.0,8015700000.0,5935000000.0,
Investing Cash Flow,-195500000.0,-287800000.0,-392100000.0,-599500000.0,
Cash Flow From Continuing Investing Activities,-195500000.0,-287800000.0,-392100000.0,-599500000.0,
Net Other Investing Changes,-104400000.0,-161800000.0,-107000000.0,-113300000.0,
Net Investment Purchase And Sale,,,,,0.0
Sale Of Investment,,,,,0.0
Purchase Of Investment,,,,,0.0
Capital Expenditure Reported,-91100000.0,-126000000.0,-285100000.0,-486200000.0,
Operating Cash Flow,962100000.0,898100000.0,2892700000.0,3621000000.0,
Cash Flow From Continuing Operating Activities,962100000.0,898100000.0,2892700000.0,3621000000.0,
Change In Working Capital,-167700000.0,100100000.0,-76700000.0,-16000000.0,
Change In Other Working Capital,-105800000.0,-38100000.0,-64200000.0,404500000.0,
Change In Payables And Accrued Expense,-121700000.0,-347400000.0,-186900000.0,295400000.0,
Change In Payable,-121700000.0,-347400000.0,-186900000.0,295400000.0,
Change In Account Payable,26000000.0,-345600000.0,-148400000.0,323400000.0,
Change In Tax Payable,-147700000.0,-1800000.0,-38500000.0,-28000000.0,
Change In Income Tax Payable,-147700000.0,-1800000.0,-38500000.0,-28000000.0,
Change In Inventory,264300000.0,31600000.0,12800000.0,-483200000.0,
Change In Receivables,-204500000.0,454000000.0,161600000.0,-232700000.0,
Changes In Account Receivables,-204500000.0,454000000.0,161600000.0,-232700000.0,
Other Non Cash Items,15600000.0,9600000.0,18700000.0,14900000.0,
Stock Based Compensation,255400000.0,180400000.0,177500000.0,170400000.0,
Asset Impairment Charge,4100000.0,0.0,1800000.0,1800000.0,
Deferred Tax,-64600000.0,-143300000.0,-27200000.0,205500000.0,
Deferred Income Tax,-64600000.0,-143300000.0,-27200000.0,205500000.0,
Depreciation Amortization Depletion,689300000.0,750100000.0,879500000.0,998400000.0,
Depreciation And Amortization,689300000.0,750100000.0,879500000.0,998400000.0,
Amortization Cash Flow,534300000.0,584300000.0,689100000.0,753700000.0,
Amortization Of Intangibles,534300000.0,584300000.0,689100000.0,753700000.0,
Depreciation,155000000.0,165800000.0,190400000.0,244700000.0,
Operating Gains Losses,,1700000.0,12200000.0,8300000.0,113400000.0
Net Income From Continuing Operations,230000000.0,-500000.0,1906900000.0,2237700000.0,
