,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,-6314259.597806,-16989000.0,19400.650915,-993092.071348
Tax Rate For Calcs,0.159049,0.21,0.194007,0.230952
Normalized EBITDA,1217900000.0,1121300000.0,3436300000.0,4106800000.0
Total Unusual Items,-39700000.0,-80900000.0,100000.0,-4300000.0
Total Unusual Items Excluding Goodwill,-39700000.0,-80900000.0,100000.0,-4300000.0
Net Income From Continuing Operation Net Minority Interest,230000000.0,-500000.0,1906900000.0,2237700000.0
Reconciled Depreciation,689300000.0,750100000.0,879500000.0,998400000.0
Reconciled Cost Of Revenue,1733800000.0,1674500000.0,2364600000.0,2412300000.0
EBITDA,1178200000.0,1040400000.0,3436400000.0,4102500000.0
EBIT,488900000.0,290300000.0,2556900000.0,3104100000.0
Net Interest Income,-209900000.0,-250000000.0,-190700000.0,-201800000.0
Interest Expense,215400000.0,251400000.0,191000000.0,194400000.0
Interest Income,11400000.0,9200000.0,7600000.0,2100000.0
Normalized Income,263385740.402194,63411000.0,1906819400.650915,2241006907.928652
Net Income From Continuing And Discontinued Operation,230000000.0,-500000.0,1906900000.0,2237700000.0
Total Expenses,4183300000.0,4026100000.0,5075700000.0,5326700000.0
Total Operating Income As Reported,490100000.0,296300000.0,2571000000.0,3116000000.0
Diluted Average Shares,545200000.0,537300000.0,548000000.0,557300000.0
Basic Average Shares,540400000.0,537300000.0,542000000.0,550400000.0
Diluted EPS,0.22,-0.01,3.48,4.02
Basic EPS,0.22,-0.01,3.52,4.07
Diluted NI Availto Com Stockholders,118800000.0,-2700000.0,1906900000.0,2237700000.0
Net Income Common Stockholders,118800000.0,-2700000.0,1906900000.0,2237700000.0
Preferred Stock Dividends,111200000.0,2200000.0,,
Net Income,230000000.0,-500000.0,1906900000.0,2237700000.0
Net Income Including Noncontrolling Interests,230000000.0,-500000.0,1906900000.0,2237700000.0
Net Income Continuous Operations,230000000.0,-500000.0,1906900000.0,2237700000.0
Tax Provision,43500000.0,39400000.0,459000000.0,672000000.0
Pretax Income,273500000.0,38900000.0,2365900000.0,2909700000.0
Other Income Expense,-46400000.0,-86600000.0,-2100000.0,-500000.0
Other Non Operating Income Expenses,-6700000.0,-5700000.0,-2200000.0,3800000.0
Special Income Charges,-39700000.0,-80900000.0,100000.0,-4300000.0
Other Special Charges,2100000.0,4400000.0,-6300000.0,-10300000.0
Restructuring And Mergern Acquisition,37600000.0,76500000.0,6200000.0,14600000.0
Net Non Operating Interest Income Expense,-209900000.0,-250000000.0,-190700000.0,-201800000.0
Total Other Finance Cost,5900000.0,7800000.0,7300000.0,9500000.0
Interest Expense Non Operating,215400000.0,251400000.0,191000000.0,194400000.0
Interest Income Non Operating,11400000.0,9200000.0,7600000.0,2100000.0
Operating Income,529800000.0,375500000.0,2558700000.0,3112000000.0
Operating Expense,2191300000.0,2092400000.0,2437000000.0,2585900000.0
Depreciation Amortization Depletion Income Statement,431100000.0,490900000.0,605400000.0,669900000.0
Depreciation And Amortization In Income Statement,431100000.0,490900000.0,605400000.0,669900000.0
Amortization,431100000.0,490900000.0,605400000.0,669900000.0
Amortization Of Intangibles Income Statement,431100000.0,490900000.0,605400000.0,669900000.0
Research And Development,1085900000.0,983800000.0,1097400000.0,1118300000.0
Selling General And Administration,674300000.0,617700000.0,734200000.0,797700000.0
Gross Profit,2721100000.0,2467900000.0,4995700000.0,5697900000.0
Cost Of Revenue,1992000000.0,1933700000.0,2638700000.0,2740800000.0
Total Revenue,4713100000.0,4401600000.0,7634400000.0,8438700000.0
Operating Revenue,4713100000.0,4401600000.0,7634400000.0,8438700000.0
