,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-40762000.0,-65727000.0,-46813935.075218,-17550000.0,
Tax Rate For Calcs,0.178,0.201,0.166007,0.195,
Normalized EBITDA,7406000000.0,5587000000.0,4958000000.0,5576000000.0,
Total Unusual Items,-229000000.0,-327000000.0,-282000000.0,-90000000.0,
Total Unusual Items Excluding Goodwill,-229000000.0,-327000000.0,-282000000.0,-90000000.0,
Net Income From Continuing Operation Net Minority Interest,4762000000.0,3295000000.0,3002000000.0,3563000000.0,
Reconciled Depreciation,729000000.0,636000000.0,635000000.0,608000000.0,
Reconciled Cost Of Revenue,388880000000.0,345728000000.0,296123000000.0,264353000000.0,
EBITDA,7177000000.0,5260000000.0,4676000000.0,5486000000.0,
EBIT,6448000000.0,4624000000.0,4041000000.0,4878000000.0,
Net Interest Income,-68000000.0,-92000000.0,-134000000.0,-141000000.0,
Interest Expense,247000000.0,265000000.0,252000000.0,248000000.0,
Interest Income,179000000.0,173000000.0,118000000.0,107000000.0,
Normalized Income,4950238000.0,3556273000.0,3237186064.924782,3635450000.0,
Net Income From Continuing And Discontinued Operation,4762000000.0,3295000000.0,3002000000.0,3560000000.0,
Total Expenses,396976000000.0,354235000000.0,304780000000.0,272129000000.0,
Total Operating Income As Reported,6212000000.0,4422000000.0,3909000000.0,4381000000.0,
Diluted Average Shares,124100000.0,128100000.0,134100000.0,142200000.0,
Basic Average Shares,123600000.0,127400000.0,133200000.0,141100000.0,
Diluted EPS,38.38,25.72,22.39,25.03,
Basic EPS,38.55,25.86,22.54,25.23,
Diluted NI Availto Com Stockholders,4762000000.0,3295000000.0,3002000000.0,3560000000.0,
Net Income Common Stockholders,4762000000.0,3295000000.0,3002000000.0,3560000000.0,
Net Income,4762000000.0,3295000000.0,3002000000.0,3560000000.0,
Minority Interests,-337000000.0,-186000000.0,-158000000.0,-162000000.0,
Net Income Including Noncontrolling Interests,5099000000.0,3481000000.0,3160000000.0,3722000000.0,
Net Income Discontinuous Operations,,0.0,0.0,-3000000.0,-5000000.0
Net Income Continuous Operations,5099000000.0,3481000000.0,3160000000.0,3725000000.0,
Tax Provision,1102000000.0,878000000.0,629000000.0,905000000.0,
Pretax Income,6201000000.0,4359000000.0,3789000000.0,4630000000.0,
Other Income Expense,-185000000.0,-365000000.0,-248000000.0,189000000.0,
Other Non Operating Income Expenses,44000000.0,-38000000.0,34000000.0,279000000.0,
Special Income Charges,-242000000.0,-394000000.0,-262000000.0,-201000000.0,
Other Special Charges,-3000000.0,108000000.0,147000000.0,-8000000.0,
Impairment Of Capital Assets,,,,0.0,36000000.0
Restructuring And Mergern Acquisition,245000000.0,286000000.0,115000000.0,209000000.0,
Earnings From Equity Interest,,,,,0.0
Gain On Sale Of Security,13000000.0,67000000.0,-20000000.0,111000000.0,
Net Non Operating Interest Income Expense,-68000000.0,-92000000.0,-134000000.0,-141000000.0,
Interest Expense Non Operating,247000000.0,265000000.0,252000000.0,248000000.0,
Interest Income Non Operating,179000000.0,173000000.0,118000000.0,107000000.0,
Operating Income,6454000000.0,4816000000.0,4171000000.0,4582000000.0,
Operating Expense,8096000000.0,8507000000.0,8657000000.0,7776000000.0,
Selling General And Administration,8096000000.0,8507000000.0,8657000000.0,7776000000.0,
Gross Profit,14550000000.0,13323000000.0,12828000000.0,12358000000.0,
Cost Of Revenue,388880000000.0,345728000000.0,296123000000.0,264353000000.0,
Total Revenue,403430000000.0,359051000000.0,308951000000.0,276711000000.0,
Operating Revenue,403430000000.0,359051000000.0,308951000000.0,276711000000.0,
