,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1543290000.0,-939960000.0,-872130000.0,-293856000.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.096,
Normalized EBITDA,24132000000.0,22603000000.0,13710000000.0,44092000000.0,
Total Unusual Items,-7349000000.0,-4476000000.0,-4153000000.0,-3061000000.0,
Total Unusual Items Excluding Goodwill,-7349000000.0,-4476000000.0,-4153000000.0,-3061000000.0,
Net Income From Continuing Operation Net Minority Interest,7746000000.0,8020000000.0,2134000000.0,31366000000.0,
Reconciled Depreciation,6592000000.0,7013000000.0,6290000000.0,5064000000.0,
Reconciled Cost Of Revenue,14349000000.0,16124000000.0,23397000000.0,32889000000.0,
EBITDA,16783000000.0,18127000000.0,9557000000.0,41031000000.0,
EBIT,10191000000.0,11114000000.0,3267000000.0,35967000000.0,
Net Interest Income,-2068000000.0,-2546000000.0,-585000000.0,-987000000.0,
Interest Expense,2671000000.0,3091000000.0,2209000000.0,1238000000.0,
Interest Income,603000000.0,545000000.0,1624000000.0,251000000.0,
Normalized Income,13551710000.0,11556040000.0,5414870000.0,34133144000.0,
Net Income From Continuing And Discontinued Operation,7771000000.0,8031000000.0,2119000000.0,31372000000.0,
Total Expenses,46785000000.0,48797000000.0,55331000000.0,64011000000.0,
Diluted Average Shares,5713000000.0,5700000000.0,5709000000.0,5733000000.0,
Basic Average Shares,5683000000.0,5664000000.0,5643000000.0,5608000000.0,
Diluted EPS,1.36,1.41,0.37,5.47,
Basic EPS,1.37,1.42,0.38,5.59,
Diluted NI Availto Com Stockholders,7771000000.0,8031000000.0,2119000000.0,31372000000.0,
Net Income Common Stockholders,7771000000.0,8031000000.0,2119000000.0,31372000000.0,
Net Income,7771000000.0,8031000000.0,2119000000.0,31372000000.0,
Minority Interests,-41000000.0,-31000000.0,-39000000.0,-35000000.0,
Net Income Including Noncontrolling Interests,7812000000.0,8062000000.0,2158000000.0,31407000000.0,
Net Income Discontinuous Operations,25000000.0,11000000.0,-15000000.0,6000000.0,
Net Income Continuous Operations,7787000000.0,8051000000.0,2172000000.0,31401000000.0,
Tax Provision,-266000000.0,-28000000.0,-1115000000.0,3328000000.0,
Pretax Income,7520000000.0,8023000000.0,1058000000.0,34729000000.0,
Other Income Expense,-6206000000.0,-4261000000.0,-2580000000.0,-1447000000.0,
Other Non Operating Income Expenses,1143000000.0,113000000.0,1068000000.0,1178000000.0,
Special Income Charges,-7547000000.0,-5756000000.0,-6219000000.0,-2102000000.0,
Gain On Sale Of Ppe,,,,0.0,99000000.0
Gain On Sale Of Business,,525000000.0,222000000.0,,
Other Special Charges,1057000000.0,567000000.0,474000000.0,230000000.0,
Write Off,,432000000.0,227000000.0,52000000.0,53000000.0
Impairment Of Capital Assets,4940000000.0,3295000000.0,3024000000.0,421000000.0,
Restructuring And Mergern Acquisition,1550000000.0,2419000000.0,2943000000.0,1451000000.0,
Earnings From Equity Interest,0.0,102000000.0,505000000.0,436000000.0,
Gain On Sale Of Security,198000000.0,1280000000.0,2066000000.0,-959000000.0,
Net Non Operating Interest Income Expense,-2068000000.0,-2546000000.0,-585000000.0,-987000000.0,
Interest Expense Non Operating,2671000000.0,3091000000.0,2209000000.0,1238000000.0,
Interest Income Non Operating,603000000.0,545000000.0,1624000000.0,251000000.0,
Operating Income,15794000000.0,14830000000.0,4223000000.0,37164000000.0,
Operating Expense,30718000000.0,30946000000.0,30377000000.0,29667000000.0,
Depreciation Amortization Depletion Income Statement,4874000000.0,5286000000.0,4733000000.0,3609000000.0,
Depreciation And Amortization In Income Statement,4874000000.0,5286000000.0,4733000000.0,3609000000.0,
Amortization,4874000000.0,5286000000.0,4733000000.0,3609000000.0,
Amortization Of Intangibles Income Statement,4874000000.0,5286000000.0,4733000000.0,3609000000.0,
Research And Development,12050000000.0,10930000000.0,10873000000.0,12381000000.0,
Selling General And Administration,13794000000.0,14730000000.0,14771000000.0,13677000000.0,
Gross Profit,46512000000.0,45776000000.0,34600000000.0,66831000000.0,
Cost Of Revenue,16067000000.0,17851000000.0,24954000000.0,34344000000.0,
Total Revenue,62579000000.0,63627000000.0,59554000000.0,101175000000.0,
Operating Revenue,62579000000.0,63627000000.0,59554000000.0,101175000000.0,
