,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-23726297.019615,-12633680.445987,-12658100.0,-12911500.0,
Tax Rate For Calcs,0.2009,0.218576,0.169,0.245,
Normalized EBITDA,1583000000.0,1272200000.0,1123500000.0,1005500000.0,
Total Unusual Items,-118100000.0,-57800000.0,-74900000.0,-52700000.0,
Total Unusual Items Excluding Goodwill,-118100000.0,-57800000.0,-74900000.0,-52700000.0,
Net Income From Continuing Operation Net Minority Interest,941100000.0,742900000.0,646300000.0,522700000.0,
Reconciled Depreciation,233000000.0,219600000.0,229000000.0,220500000.0,
Reconciled Cost Of Revenue,2445300000.0,2226100000.0,2199600000.0,2277800000.0,
EBITDA,1464900000.0,1214400000.0,1048600000.0,952800000.0,
EBIT,1231900000.0,994800000.0,819600000.0,732300000.0,
Net Interest Income,-500000.0,29900000.0,30800000.0,-8200000.0,
Interest Expense,54200000.0,44100000.0,42200000.0,40400000.0,
Interest Income,53700000.0,74000000.0,73000000.0,32200000.0,
Normalized Income,1035473702.980385,788066319.554013,708541900.0,562488500.0,
Net Income From Continuing And Discontinued Operation,941100000.0,742900000.0,646300000.0,522700000.0,
Total Expenses,6817200000.0,6089100000.0,5800100000.0,5686700000.0,
Rent Expense Supplemental,,36600000.0,19100000.0,23800000.0,18200000.0
Total Operating Income As Reported,1179200000.0,932100000.0,756400000.0,704200000.0,
Diluted Average Shares,62300000.0,64000000.0,66500000.0,69000000.0,
Basic Average Shares,61000000.0,62600000.0,65200000.0,67700000.0,
Diluted EPS,15.11,11.61,9.71,7.58,
Basic EPS,15.42,11.86,9.91,7.72,
Diluted NI Availto Com Stockholders,941100000.0,742900000.0,646300000.0,522700000.0,
Net Income Common Stockholders,941100000.0,742900000.0,646300000.0,522700000.0,
Net Income,941100000.0,742900000.0,646300000.0,522700000.0,
Net Income Including Noncontrolling Interests,941100000.0,742900000.0,646300000.0,522700000.0,
Net Income Continuous Operations,941100000.0,742900000.0,646300000.0,522700000.0,
Tax Provision,236600000.0,207800000.0,131100000.0,169200000.0,
Pretax Income,1177700000.0,950700000.0,777400000.0,691900000.0,
Other Income Expense,-119100000.0,-69100000.0,-84700000.0,-56800000.0,
Other Non Operating Income Expenses,-1000000.0,-11300000.0,-9800000.0,-4100000.0,
Special Income Charges,-118100000.0,-57800000.0,-74900000.0,-52700000.0,
Impairment Of Capital Assets,,800000.0,0.0,9700000.0,21300000.0
Restructuring And Mergern Acquisition,118100000.0,57800000.0,74900000.0,43000000.0,
Net Non Operating Interest Income Expense,-500000.0,29900000.0,30800000.0,-8200000.0,
Interest Expense Non Operating,54200000.0,44100000.0,42200000.0,40400000.0,
Interest Income Non Operating,53700000.0,74000000.0,73000000.0,32200000.0,
Operating Income,1297300000.0,989900000.0,831300000.0,756900000.0,
Operating Expense,4371900000.0,3863000000.0,3600500000.0,3408900000.0,
Selling General And Administration,4371900000.0,3863000000.0,3600500000.0,3408900000.0,
General And Administrative Expense,,3863000000.0,3600500000.0,3408900000.0,3305600000.0
Other Gand A,,3863000000.0,3600500000.0,3408900000.0,3305600000.0
Rent And Landing Fees,,36600000.0,19100000.0,23800000.0,18200000.0
Gross Profit,5669200000.0,4852900000.0,4431800000.0,4165800000.0,
Cost Of Revenue,2445300000.0,2226100000.0,2199600000.0,2277800000.0,
Total Revenue,8114500000.0,7079000000.0,6631400000.0,6443600000.0,
Operating Revenue,8114500000.0,7079000000.0,6631400000.0,6443600000.0,
