,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Free Cash Flow,2207608000.0,1636884000.0,1751678000.0,1035303000.0,
Repurchase Of Capital Stock,-1129899000.0,-1136071000.0,-998564000.0,-998851000.0,
Repayment Of Debt,-700000000.0,-250000000.0,0.0,0.0,
Issuance Of Debt,,,,0.0,0.0
Capital Expenditure,-819275000.0,-720104000.0,-762812000.0,-654070000.0,
Interest Paid Supplemental Data,55778000.0,80316000.0,80316000.0,80316000.0,
Income Tax Paid Supplemental Data,605565000.0,703079000.0,595152000.0,362156000.0,
End Cash Position,4661973000.0,4796462000.0,4935441000.0,4612241000.0,
Beginning Cash Position,4796462000.0,4935441000.0,4612241000.0,4982382000.0,
Changes In Cash,-134489000.0,-138979000.0,323200000.0,-370141000.0,
Financing Cash Flow,-2342097000.0,-1858505000.0,-1428478000.0,-1405444000.0,
Cash Flow From Continuing Financing Activities,-2342097000.0,-1858505000.0,-1428478000.0,-1405444000.0,
Net Other Financing Charges,-9443000.0,-8798000.0,,,
Proceeds From Stock Option Exercised,25330000.0,25085000.0,24900000.0,24702000.0,
Cash Dividends Paid,-528085000.0,-488721000.0,-454814000.0,-431295000.0,
Common Stock Dividend Paid,-528085000.0,-488721000.0,-454814000.0,-431295000.0,
Net Common Stock Issuance,-1129899000.0,-1136071000.0,-998564000.0,-998851000.0,
Common Stock Payments,-1129899000.0,-1136071000.0,-998564000.0,-998851000.0,
Net Issuance Payments Of Debt,-700000000.0,-250000000.0,0.0,0.0,
Net Short Term Debt Issuance,,,,0.0,0.0
Short Term Debt Payments,,,,0.0,0.0
Short Term Debt Issuance,,,,0.0,0.0
Net Long Term Debt Issuance,-700000000.0,-250000000.0,0.0,0.0,
Long Term Debt Payments,-700000000.0,-250000000.0,0.0,0.0,
Long Term Debt Issuance,,,,0.0,0.0
Investing Cash Flow,-819275000.0,-637462000.0,-762812000.0,-654070000.0,
Cash Flow From Continuing Investing Activities,-819275000.0,-637462000.0,-762812000.0,-654070000.0,
Net Investment Purchase And Sale,,,,,0.0
Sale Of Investment,,,,,0.0
Net PPE Purchase And Sale,-819275000.0,-637462000.0,-762812000.0,-654070000.0,
Sale Of PPE,0.0,82642000.0,0.0,0.0,
Purchase Of PPE,-819275000.0,-720104000.0,-762812000.0,-654070000.0,
Operating Cash Flow,3026883000.0,2356988000.0,2514490000.0,1689373000.0,
Cash Flow From Continuing Operating Activities,3026883000.0,2356988000.0,2514490000.0,1689373000.0,
Change In Working Capital,122707000.0,-266055000.0,95869000.0,-418676000.0,
Change In Other Working Capital,3357000.0,9906000.0,12271000.0,17873000.0,
Change In Other Current Liabilities,50784000.0,-123556000.0,296980000.0,-304454000.0,
Change In Other Current Assets,-47382000.0,-27319000.0,-2261000.0,-39487000.0,
Change In Payables And Accrued Expense,302405000.0,127207000.0,-42396000.0,-331386000.0,
Change In Payable,302405000.0,127207000.0,-42396000.0,-331386000.0,
Change In Account Payable,285244000.0,154664000.0,-65327000.0,-365262000.0,
Change In Tax Payable,17161000.0,-27457000.0,22931000.0,33876000.0,
Change In Income Tax Payable,17161000.0,-27457000.0,22931000.0,33876000.0,
Change In Inventory,-186457000.0,-252293000.0,-168725000.0,238778000.0,
Stock Based Compensation,175354000.0,156298000.0,145490000.0,121936000.0,
Deferred Tax,74387000.0,-9198000.0,-20821000.0,79417000.0,
Deferred Income Tax,74387000.0,-9198000.0,-20821000.0,79417000.0,
Depreciation Amortization Depletion,509391000.0,446788000.0,419432000.0,394655000.0,
Depreciation And Amortization,509391000.0,446788000.0,419432000.0,394655000.0,
Depreciation,,,419400000.0,394700000.0,
Operating Gains Losses,,-61575000.0,,,
Gain Loss On Sale Of PPE,0.0,-61575000.0,0.0,0.0,
Net Income From Continuing Operations,2145044000.0,2090730000.0,1874520000.0,1512041000.0,
