,2026-01-31,2025-01-31,2024-01-31,2023-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.245,0.242,0.242,0.239
Normalized EBITDA,3389490000.0,3267329000.0,2965302000.0,2462692000.0
Net Income From Continuing Operation Net Minority Interest,2145044000.0,2090730000.0,1874520000.0,1512041000.0
Reconciled Depreciation,509391000.0,446788000.0,419432000.0,394655000.0
Reconciled Cost Of Revenue,16447256000.0,15260506000.0,14801601000.0,13946230000.0
EBITDA,3389490000.0,3267329000.0,2965302000.0,2462692000.0
EBIT,2880099000.0,2820541000.0,2545870000.0,2068037000.0
Net Interest Income,134800000.0,171568000.0,164118000.0,-2842000.0
Interest Expense,37942000.0,63387000.0,74089000.0,80548000.0
Interest Income,172742000.0,234955000.0,238207000.0,77706000.0
Normalized Income,2145044000.0,2090730000.0,1874520000.0,1512041000.0
Net Income From Continuing And Discontinued Operation,2145044000.0,2090730000.0,1874520000.0,1512041000.0
Total Expenses,20043202000.0,18543633000.0,18069278000.0,16705498000.0
Total Operating Income As Reported,2707357000.0,2585586000.0,2307663000.0,
Diluted Average Shares,324416000.0,330984000.0,337433000.0,345222000.0
Basic Average Shares,322220000.0,328593000.0,335187000.0,343452000.0
Diluted EPS,6.61,6.32,5.56,4.38
Basic EPS,6.66,6.36,5.59,4.4
Diluted NI Availto Com Stockholders,2145044000.0,2090730000.0,1874520000.0,1512041000.0
Net Income Common Stockholders,2145044000.0,2090730000.0,1874520000.0,1512041000.0
Net Income,2145044000.0,2090730000.0,1874520000.0,1512041000.0
Net Income Including Noncontrolling Interests,2145044000.0,2090730000.0,1874520000.0,1512041000.0
Net Income Continuous Operations,2145044000.0,2090730000.0,1874520000.0,1512041000.0
Tax Provision,697113000.0,666424000.0,597261000.0,475448000.0
Pretax Income,2842157000.0,2757154000.0,2471781000.0,1987489000.0
Net Non Operating Interest Income Expense,134800000.0,171568000.0,164118000.0,-2842000.0
Interest Expense Non Operating,37942000.0,63387000.0,74089000.0,80548000.0
Interest Income Non Operating,172742000.0,234955000.0,238207000.0,77706000.0
Operating Income,2707357000.0,2585586000.0,2307663000.0,1990331000.0
Operating Expense,3595946000.0,3283127000.0,3267677000.0,2759268000.0
Selling General And Administration,3595946000.0,3283127000.0,3267677000.0,2759268000.0
Gross Profit,6303303000.0,5868713000.0,5575340000.0,4749599000.0
Cost Of Revenue,16447256000.0,15260506000.0,14801601000.0,13946230000.0
Total Revenue,22750559000.0,21129219000.0,20376941000.0,18695829000.0
Operating Revenue,22750559000.0,21129219000.0,20376941000.0,18695829000.0
