,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Ordinary Shares Number,97800000.0,98301000.0,98883000.0,98629000.0,
Share Issued,97800000.0,98301000.0,98883000.0,98629000.0,
Net Debt,1492200000.0,1872000000.0,2999080000.0,2870298000.0,
Total Debt,2087200000.0,2202500000.0,3383167000.0,3248277000.0,
Tangible Book Value,1368800000.0,653400000.0,112170000.0,121280000.0,
Invested Capital,9115400000.0,8647100000.0,9508264000.0,9155853000.0,
Working Capital,1249600000.0,978600000.0,1937996000.0,1149598000.0,
Net Tangible Assets,1368800000.0,653400000.0,112170000.0,121280000.0,
Capital Lease Obligations,155400000.0,158800000.0,177067000.0,169622000.0,
Common Stock Equity,7183600000.0,6603400000.0,6302164000.0,6077198000.0,
Total Capitalization,8996500000.0,8522100000.0,9422326000.0,9095853000.0,
Total Equity Gross Minority Interest,7197200000.0,6615800000.0,6315346000.0,6087172000.0,
Minority Interest,13600000.0,12400000.0,13182000.0,9974000.0,
Stockholders Equity,7183600000.0,6603400000.0,6302164000.0,6077198000.0,
Other Equity Interest,-100000.0,,,,
Gains Losses Not Affecting Retained Earnings,-113100000.0,-292300000.0,-328657000.0,-320710000.0,
Other Equity Adjustments,-113100000.0,-292300000.0,-328657000.0,-320710000.0,
Retained Earnings,3015900000.0,2475300000.0,2087645000.0,1911533000.0,
Capital Stock,4280900000.0,4420400000.0,4543176000.0,4486375000.0,
Common Stock,4280900000.0,4420400000.0,4543176000.0,4486375000.0,
Total Liabilities Net Minority Interest,3540000000.0,3531000000.0,4748351000.0,4734667000.0,
Total Non Current Liabilities Net Minority Interest,2395000000.0,2508800000.0,3817224000.0,3872823000.0,
Other Non Current Liabilities,22000000.0,12700000.0,21037000.0,21197000.0,
Liabilities Heldfor Sale Non Current,,,0.0,20936000.0,
Employee Benefits,10000000.0,9400000.0,9207000.0,10099000.0,
Non Current Pension And Other Postretirement Benefit Plans,8400000.0,8100000.0,7886000.0,8946000.0,
Tradeand Other Payables Non Current,300000.0,1900000.0,6508000.0,10082000.0,
Non Current Deferred Liabilities,390700000.0,403700000.0,479688000.0,617538000.0,
Non Current Deferred Taxes Liabilities,390700000.0,403700000.0,479688000.0,617538000.0,
Long Term Debt And Capital Lease Obligation,1932500000.0,2043300000.0,3265990000.0,3158212000.0,
Long Term Capital Lease Obligation,119600000.0,124600000.0,145828000.0,139557000.0,
Long Term Debt,1812900000.0,1918700000.0,3120162000.0,3018655000.0,
Long Term Provisions,39500000.0,37800000.0,34794000.0,34759000.0,
Current Liabilities,1145000000.0,1022200000.0,931127000.0,861844000.0,
Other Current Liabilities,271500000.0,238600000.0,239709000.0,201364000.0,
Current Deferred Liabilities,59100000.0,57500000.0,70460000.0,85727000.0,
Current Deferred Revenue,59100000.0,57500000.0,70460000.0,85727000.0,
Current Debt And Capital Lease Obligation,154700000.0,159200000.0,117177000.0,90065000.0,
Current Capital Lease Obligation,35800000.0,34200000.0,31239000.0,30065000.0,
Current Debt,118900000.0,125000000.0,85938000.0,60000000.0,
Other Current Borrowings,118900000.0,125000000.0,85938000.0,60000000.0,
Pensionand Other Post Retirement Benefit Plans Current,221100000.0,192700000.0,164831000.0,118463000.0,
Current Provisions,15000000.0,15700000.0,13813000.0,11868000.0,
Payables And Accrued Expenses,423600000.0,358500000.0,325137000.0,354357000.0,
Current Accrued Expenses,56200000.0,56200000.0,59774000.0,49715000.0,
Interest Payable,6200000.0,7800000.0,11109000.0,9243000.0,
Payables,367400000.0,302300000.0,265363000.0,304642000.0,
Total Tax Payable,28600000.0,21500000.0,13640000.0,40477000.0,
Income Tax Payable,28600000.0,21500000.0,13640000.0,40477000.0,
Accounts Payable,338800000.0,280800000.0,251723000.0,264165000.0,
Total Assets,10737200000.0,10146800000.0,11063697000.0,10821839000.0,
Total Non Current Assets,8342700000.0,8145900000.0,8194574000.0,8810397000.0,
Other Non Current Assets,211400000.0,83000000.0,66199000.0,1055151000.0,
Goodwill And Other Intangible Assets,5814800000.0,5950000000.0,6189994000.0,5955918000.0,
Other Intangible Assets,1620000000.0,1854300000.0,2119282000.0,2076699000.0,
Goodwill,4194800000.0,4095700000.0,4070712000.0,3879219000.0,
Net PPE,2316500000.0,2112900000.0,1938381000.0,1799328000.0,
Accumulated Depreciation,-1944600000.0,-1731100000.0,-1573947000.0,-1414101000.0,
Gross PPE,4261100000.0,3844000000.0,3512328000.0,3213429000.0,
Construction In Progress,509500000.0,512100000.0,500106000.0,472206000.0,
Other Properties,985100000.0,906200000.0,865843000.0,804473000.0,
Machinery Furniture Equipment,1750600000.0,1487500000.0,1331753000.0,1200885000.0,
Buildings And Improvements,903600000.0,832100000.0,724492000.0,658108000.0,
Land And Improvements,112300000.0,106100000.0,90134000.0,77757000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2394600000.0,2000800000.0,2869123000.0,2011442000.0,
Other Current Assets,230400000.0,203800000.0,174349000.0,176107000.0,
Assets Held For Sale Current,,0.0,804904000.0,157580000.0,
Prepaid Assets,,,,179277000.0,156637000.0
Inventory,631800000.0,581300000.0,674535000.0,604410000.0,
Inventories Adjustments Allowances,-39400000.0,-49800000.0,-43893000.0,-35601000.0,
Other Inventories,-100000.0,,,,
Finished Goods,355200000.0,334900000.0,374182000.0,325609000.0,
Work In Process,90700000.0,83100000.0,98304000.0,93971000.0,
Raw Materials,225400000.0,213100000.0,245942000.0,220431000.0,
Receivables,1092800000.0,1044000000.0,1008315000.0,864988000.0,
Accounts Receivable,1092800000.0,1044000000.0,1008315000.0,864988000.0,
Allowance For Doubtful Accounts Receivable,-27300000.0,-24400000.0,-22984000.0,-19284000.0,
Gross Accounts Receivable,1120100000.0,1068400000.0,1031299000.0,884272000.0,
Cash Cash Equivalents And Short Term Investments,439600000.0,171700000.0,207020000.0,208357000.0,
Cash And Cash Equivalents,439600000.0,171700000.0,207020000.0,208357000.0,
