,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,972400000.0,778000000.0,613000000.0,394978000.0,
Repurchase Of Capital Stock,-235500000.0,-211300000.0,-11800000.0,-308565000.0,
Repayment Of Debt,-125000000.0,-1164400000.0,-60000000.0,-247875000.0,
Issuance Of Debt,3000000.0,,181500000.0,241657000.0,2000000000.0
Capital Expenditure,-369000000.0,-370100000.0,-360300000.0,-361969000.0,
Interest Paid Supplemental Data,,89401000.0,142167000.0,108470000.0,84696000.0
Income Tax Paid Supplemental Data,,273611000.0,271274000.0,254661000.0,138382000.0
End Cash Position,439600000.0,171700000.0,207000000.0,208357000.0,
Beginning Cash Position,171700000.0,207000000.0,208400000.0,348320000.0,
Effect Of Exchange Rate Changes,7200000.0,200000.0,-2100000.0,-14862000.0,
Changes In Cash,260700000.0,-35500000.0,700000.0,-125101000.0,
Financing Cash Flow,-568200000.0,-1572400000.0,-85200000.0,-498718000.0,
Cash Flow From Continuing Financing Activities,-568200000.0,-1572400000.0,-85200000.0,-498718000.0,
Net Other Financing Charges,-1800000.0,-2300000.0,-4800000.0,-2265000.0,
Proceeds From Stock Option Exercised,32900000.0,25500000.0,10500000.0,1828000.0,
Cash Dividends Paid,-241800000.0,-219900000.0,-200600000.0,-183498000.0,
Common Stock Dividend Paid,-241800000.0,-219900000.0,-200600000.0,-183498000.0,
Net Common Stock Issuance,-235500000.0,-211300000.0,-11800000.0,-308565000.0,
Common Stock Payments,-235500000.0,-211300000.0,-11800000.0,-308565000.0,
Net Issuance Payments Of Debt,-122000000.0,-1164400000.0,121500000.0,-6218000.0,
Net Short Term Debt Issuance,,,181486000.0,241657000.0,-190174000.0
Short Term Debt Payments,,,,,-190174000.0
Net Long Term Debt Issuance,-122000000.0,-1164400000.0,121500000.0,-6218000.0,
Long Term Debt Payments,-125000000.0,-1164400000.0,-60000000.0,-247875000.0,
Long Term Debt Issuance,3000000.0,,181500000.0,241657000.0,2000000000.0
Investing Cash Flow,-512500000.0,388800000.0,-887400000.0,-383330000.0,
Cash Flow From Continuing Investing Activities,-512600000.0,388800000.0,-887300000.0,-383330000.0,
Net Other Investing Changes,100000.0,,-100000.0,,
Net Investment Purchase And Sale,-134000000.0,-10800000.0,2400000.0,0.0,
Sale Of Investment,0.0,0.0,3900000.0,0.0,
Purchase Of Investment,-134000000.0,-10800000.0,-1500000.0,0.0,
Net Business Purchase And Sale,-20100000.0,760500000.0,-536800000.0,-35948000.0,
Sale Of Business,0.0,814600000.0,9500000.0,6624000.0,
Purchase Of Business,-20100000.0,-54100000.0,-546300000.0,-42572000.0,
Net PPE Purchase And Sale,-358500000.0,-360900000.0,-352900000.0,-347382000.0,
Sale Of PPE,10500000.0,9200000.0,7400000.0,14587000.0,
Purchase Of PPE,-369000000.0,-370100000.0,-360300000.0,-361969000.0,
Operating Cash Flow,1341400000.0,1148100000.0,973300000.0,756947000.0,
Cash Flow From Continuing Operating Activities,1341200000.0,1148100000.0,973000000.0,756947000.0,
Change In Working Capital,27100000.0,66500000.0,-146200000.0,-250023000.0,
Change In Other Current Assets,-22700000.0,-50300000.0,-1600000.0,-24086000.0,
Change In Payables And Accrued Expense,98900000.0,72500000.0,21000000.0,31288000.0,
Change In Accrued Expense,47800000.0,38900000.0,40000000.0,-22054000.0,
Change In Payable,51100000.0,33600000.0,-19000000.0,53342000.0,
Change In Account Payable,51100000.0,33600000.0,-19000000.0,53342000.0,
Change In Inventory,-24000000.0,73100000.0,-37500000.0,-123921000.0,
Change In Receivables,-25100000.0,-28800000.0,-128100000.0,-133304000.0,
Changes In Account Receivables,-25100000.0,-28800000.0,-128100000.0,-133304000.0,
Other Non Cash Items,-5400000.0,-3700000.0,223800000.0,-17469000.0,
Stock Based Compensation,61700000.0,57400000.0,56500000.0,38951000.0,
Asset Impairment Charge,,0.0,0.0,490565000.0,0.0
Deferred Tax,-16900000.0,-76500000.0,-131400000.0,-185913000.0,
Deferred Income Tax,-16900000.0,-76500000.0,-131400000.0,-185913000.0,
Depreciation Amortization Depletion,486500000.0,476200000.0,565200000.0,552897000.0,
Operating Gains Losses,3300000.0,12100000.0,25300000.0,22126000.0,
Gain Loss On Investment Securities,,,-546000.0,,
Gain Loss On Sale Of PPE,3600000.0,5700000.0,25000000.0,22193000.0,
Gain Loss On Sale Of Business,-300000.0,6400000.0,300000.0,-67000.0,
Net Income From Continuing Operations,785100000.0,616100000.0,380100000.0,105813000.0,
