,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-1026468.060728,-21852223.059533,-5538000.0,-88270.0,
Tax Rate For Calcs,0.250358,0.231977,0.213,0.182,
Normalized EBITDA,1598600000.0,1452900000.0,1438400000.0,1344483000.0,
Total Unusual Items,-4100000.0,-94200000.0,-26000000.0,-485000.0,
Total Unusual Items Excluding Goodwill,-4100000.0,-94200000.0,-26000000.0,-485000.0,
Net Income From Continuing Operation Net Minority Interest,782300000.0,610200000.0,551500000.0,557414000.0,
Reconciled Depreciation,486500000.0,476200000.0,565200000.0,552897000.0,
Reconciled Cost Of Revenue,3309400000.0,3056800000.0,2920500000.0,2555540000.0,
EBITDA,1594500000.0,1358700000.0,1412400000.0,1343998000.0,
EBIT,1108000000.0,882500000.0,847200000.0,791101000.0,
Net Interest Income,-50900000.0,-77900000.0,-133400000.0,-110835000.0,
Interest Expense,60700000.0,86300000.0,144400000.0,110835000.0,
Interest Income,9800000.0,8400000.0,11000000.0,,6284000.0
Normalized Income,785373531.939272,682547776.940467,571962000.0,557810730.0,
Net Income From Continuing And Discontinued Operation,782300000.0,614700000.0,378300000.0,107030000.0,
Total Expenses,4830000000.0,4498700000.0,4276500000.0,3744680000.0,
Total Operating Income As Reported,1101800000.0,866600000.0,836100000.0,791101000.0,
Diluted Average Shares,98700000.0,99069000.0,99359000.0,100246000.0,
Basic Average Shares,98200000.0,98575000.0,98787000.0,99706000.0,
Diluted EPS,7.93,6.2,3.81,1.07,
Basic EPS,7.97,6.24,3.83,1.07,
Diluted NI Availto Com Stockholders,782300000.0,614600000.0,378200000.0,107030000.0,
Net Income Common Stockholders,782300000.0,614600000.0,378200000.0,107030000.0,
Net Income,782300000.0,614700000.0,378300000.0,107030000.0,
Minority Interests,-2800000.0,-1400000.0,-1800000.0,1217000.0,
Net Income Including Noncontrolling Interests,785100000.0,616100000.0,380100000.0,105813000.0,
Net Income Discontinuous Operations,0.0,4500000.0,-173200000.0,-450384000.0,
Net Income Continuous Operations,785100000.0,611600000.0,553300000.0,556197000.0,
Tax Provision,262200000.0,184700000.0,149500000.0,124069000.0,
Pretax Income,1047300000.0,796200000.0,702800000.0,680266000.0,
Other Income Expense,-7600000.0,-86800000.0,-26000000.0,-485000.0,
Other Non Operating Income Expenses,-3500000.0,7400000.0,,,-27806000.0
Special Income Charges,-4100000.0,-94200000.0,-26000000.0,-485000.0,
Gain On Sale Of Business,,7425000.0,0.0,0.0,
Other Special Charges,,48200000.0,,,
Impairment Of Capital Assets,,,,490565000.0,0.0
Restructuring And Mergern Acquisition,4100000.0,46000000.0,26000000.0,485000.0,
Net Non Operating Interest Income Expense,-50900000.0,-77900000.0,-133400000.0,-110835000.0,
Interest Expense Non Operating,60700000.0,86300000.0,144400000.0,110835000.0,
Interest Income Non Operating,9800000.0,8400000.0,11000000.0,,6284000.0
Operating Income,1105900000.0,960900000.0,862200000.0,791586000.0,
Operating Expense,1520600000.0,1441900000.0,1356000000.0,1189140000.0,
Research And Development,112900000.0,107600000.0,103700000.0,98477000.0,
Selling General And Administration,1407700000.0,1334300000.0,1252300000.0,1090663000.0,
Gross Profit,2626500000.0,2402800000.0,2218200000.0,1980726000.0,
Cost Of Revenue,3309400000.0,3056800000.0,2920500000.0,2555540000.0,
Total Revenue,5935900000.0,5459500000.0,5138700000.0,4536266000.0,
Operating Revenue,5935900000.0,5459500000.0,5138700000.0,4536266000.0,
