,2026-02-28,2025-02-28,2024-02-29,2023-02-28,2022-02-28
Free Cash Flow,1794000000.0,1938100000.0,1510900000.0,1721500000.0,
Repurchase Of Capital Stock,-924100000.0,-1123800000.0,-249700000.0,-3200200000.0,
Repayment Of Debt,-1404400000.0,-957000000.0,-809700000.0,-2159700000.0,
Issuance Of Debt,997700000.0,0.0,1144400000.0,3344900000.0,
Capital Expenditure,-875000000.0,-1214100000.0,-1269100000.0,-1035400000.0,
Interest Paid Supplemental Data,346200000.0,416100000.0,418600000.0,386300000.0,
Income Tax Paid Supplemental Data,173600000.0,197100000.0,333500000.0,129700000.0,
End Cash Position,102400000.0,68100000.0,152400000.0,133500000.0,
Beginning Cash Position,68100000.0,152400000.0,133500000.0,199400000.0,
Effect Of Exchange Rate Changes,4800000.0,100000.0,-600000.0,-3500000.0,
Changes In Cash,29500000.0,-84400000.0,19500000.0,-62400000.0,
Financing Cash Flow,-2656000000.0,-2261800000.0,-1474600000.0,-1819900000.0,
Cash Flow From Continuing Financing Activities,-2656000000.0,-2261800000.0,-1474600000.0,-1819900000.0,
Net Other Financing Charges,-82400000.0,-88300000.0,-86400000.0,-101900000.0,
Proceeds From Stock Option Exercised,7700000.0,73800000.0,104500000.0,42400000.0,
Cash Dividends Paid,-715700000.0,-731800000.0,-653800000.0,-587700000.0,
Common Stock Dividend Paid,,,-653800000.0,-587700000.0,-573000000.0
Net Common Stock Issuance,-924100000.0,-1123800000.0,-249700000.0,-3200200000.0,
Common Stock Payments,-924100000.0,-1123800000.0,-249700000.0,-3200200000.0,
Net Issuance Payments Of Debt,-941500000.0,-391700000.0,-589200000.0,2027500000.0,
Net Short Term Debt Issuance,-534800000.0,565300000.0,-923900000.0,842300000.0,
Net Long Term Debt Issuance,-406700000.0,-957000000.0,334700000.0,1185200000.0,
Long Term Debt Payments,-1404400000.0,-957000000.0,-809700000.0,-2159700000.0,
Long Term Debt Issuance,997700000.0,0.0,1144400000.0,3344900000.0,
Investing Cash Flow,16500000.0,-974800000.0,-1285900000.0,-999400000.0,
Cash Flow From Continuing Investing Activities,16500000.0,-974800000.0,-1285900000.0,-999400000.0,
Net Other Investing Changes,59000000.0,23800000.0,19900000.0,7200000.0,
Net Investment Purchase And Sale,,,300000.0,0.0,74400000.0
Sale Of Investment,,,300000.0,0.0,74400000.0
Net Business Purchase And Sale,832500000.0,215500000.0,-36700000.0,28800000.0,
Sale Of Business,850500000.0,409200000.0,5400000.0,96700000.0,
Purchase Of Business,-18000000.0,-193700000.0,-42100000.0,-67900000.0,
Net PPE Purchase And Sale,-875000000.0,-1214100000.0,-1269100000.0,-1035400000.0,
Purchase Of PPE,-875000000.0,-1214100000.0,-1269100000.0,-1035400000.0,
Operating Cash Flow,2669000000.0,3152200000.0,2780000000.0,2756900000.0,
Cash Flow From Continuing Operating Activities,2669000000.0,3152200000.0,2780000000.0,2756900000.0,
Change In Working Capital,-185200000.0,-134200000.0,-287800000.0,-274500000.0,
Change In Other Working Capital,-71500000.0,-35500000.0,-11000000.0,12800000.0,
Change In Payables And Accrued Expense,-151700000.0,52600000.0,-91200000.0,-124900000.0,
Change In Accrued Expense,-148000000.0,-48900000.0,-115900000.0,-239800000.0,
Change In Payable,-3700000.0,101500000.0,24700000.0,114900000.0,
Change In Account Payable,-3700000.0,101500000.0,24700000.0,114900000.0,
Change In Prepaid Assets,3400000.0,-89400000.0,-76500000.0,197900000.0,
Change In Inventory,-48300000.0,-152200000.0,-182300000.0,-356400000.0,
Change In Receivables,82900000.0,90300000.0,73200000.0,-3900000.0,
Changes In Account Receivables,82900000.0,90300000.0,73200000.0,-3900000.0,
Other Non Cash Items,-45200000.0,-51000000.0,105400000.0,259600000.0,
Stock Based Compensation,67700000.0,72200000.0,63600000.0,68500000.0,
Unrealized Gain Loss On Investment Securities,5000000.0,47900000.0,85400000.0,45900000.0,
Asset Impairment Charge,111300000.0,3284400000.0,136100000.0,1126800000.0,
Deferred Tax,510500000.0,-210300000.0,147900000.0,207800000.0,
Deferred Income Tax,510500000.0,-210300000.0,147900000.0,207800000.0,
Depreciation Amortization Depletion,418700000.0,445700000.0,427900000.0,383800000.0,
Depreciation And Amortization,418700000.0,445700000.0,427900000.0,383800000.0,
Depreciation,418700000.0,445700000.0,427900000.0,383800000.0,
Operating Gains Losses,29400000.0,-271400000.0,336300000.0,977500000.0,
Earnings Losses From Equity Investments,-2500000.0,-5400000.0,321200000.0,971800000.0,
Gain Loss On Investment Securities,,,1600000.0,20700000.0,-51000000.0
Gain Loss On Sale Of Business,31900000.0,-266000000.0,15100000.0,-15000000.0,
Net Income From Continuing Operations,1756800000.0,-31100000.0,1765200000.0,-38500000.0,
