,2026-02-28,2025-02-28,2024-02-29,2023-02-28,2022-02-28
Tax Effect Of Unusual Items,-39070401.211204,-642411000.0,-48883800.0,-231882000.0,
Tax Rate For Calcs,0.261166,0.21,0.206,0.21,
Normalized EBITDA,3307700000.0,3840400000.0,3330600000.0,2294500000.0,
Total Unusual Items,-149600000.0,-3059100000.0,-237300000.0,-1104200000.0,
Total Unusual Items Excluding Goodwill,-149600000.0,-3059100000.0,-237300000.0,-1104200000.0,
Net Income From Continuing Operation Net Minority Interest,1686700000.0,-81400000.0,1727400000.0,-71000000.0,
Reconciled Depreciation,418700000.0,445700000.0,427900000.0,383800000.0,
Reconciled Cost Of Revenue,4427500000.0,4894100000.0,4944300000.0,4683600000.0,
EBITDA,3158100000.0,781300000.0,3093300000.0,1190300000.0,
EBIT,2739400000.0,335600000.0,2665400000.0,806500000.0,
Net Interest Income,-351200000.0,-411400000.0,-435400000.0,-422900000.0,
Interest Expense,361600000.0,418400000.0,443600000.0,422900000.0,
Interest Income,10400000.0,7000000.0,8200000.0,,
Normalized Income,1797229598.788796,2335289000.0,1915816200.0,801318000.0,
Net Income From Continuing And Discontinued Operation,1686700000.0,-81400000.0,1727400000.0,-71000000.0,
Total Expenses,6275900000.0,6844100000.0,6777000000.0,6611700000.0,
Total Operating Income As Reported,2721400000.0,354900000.0,3169700000.0,2842900000.0,
Diluted Average Shares,175568000.0,181476000.0,183959000.0,192543000.0,
Basic Average Shares,175414000.0,181476000.0,183307000.0,192543000.0,
Diluted EPS,9.61,-0.45,9.39,-0.11,
Basic EPS,9.62,-0.45,9.42,-0.11,
Diluted NI Availto Com Stockholders,1686700000.0,-81400000.0,1727400000.0,-71000000.0,
Average Dilution Earnings,,,,0.0,0.0
Net Income Common Stockholders,1686700000.0,-81400000.0,1727400000.0,-71000000.0,
Net Income,1686700000.0,-81400000.0,1727400000.0,-71000000.0,
Minority Interests,-70100000.0,-50300000.0,-37800000.0,-32500000.0,
Net Income Including Noncontrolling Interests,1756800000.0,-31100000.0,1765200000.0,-38500000.0,
Net Income Continuous Operations,1756800000.0,-31100000.0,1765200000.0,-38500000.0,
Tax Provision,621000000.0,-51700000.0,456600000.0,422100000.0,
Pretax Income,2377800000.0,-82800000.0,2221800000.0,383600000.0,
Other Income Expense,-134100000.0,-3036000000.0,-527600000.0,-2034400000.0,
Special Income Charges,-144600000.0,-3018400000.0,-151900000.0,-1058300000.0,
Gain On Sale Of Business,-31900000.0,266000000.0,-15100000.0,15000000.0,
Other Special Charges,1400000.0,,700000.0,24200000.0,29400000.0
Write Off,111300000.0,486700000.0,136100000.0,1060300000.0,
Impairment Of Capital Assets,0.0,2797700000.0,0.0,13000000.0,
Earnings From Equity Interest,15500000.0,23100000.0,-290300000.0,-930200000.0,
Gain On Sale Of Security,-5000000.0,-40700000.0,-85400000.0,-45900000.0,
Net Non Operating Interest Income Expense,-351200000.0,-411400000.0,-435400000.0,-422900000.0,
Interest Expense Non Operating,361600000.0,418400000.0,443600000.0,422900000.0,
Interest Income Non Operating,10400000.0,7000000.0,8200000.0,,
Operating Income,2863100000.0,3364600000.0,3184800000.0,2840900000.0,
Operating Expense,1848400000.0,1950000000.0,1832700000.0,1928100000.0,
Selling General And Administration,1848400000.0,1950000000.0,1832700000.0,1928100000.0,
Gross Profit,4711500000.0,5314600000.0,5017500000.0,4769000000.0,
Cost Of Revenue,4427500000.0,4894100000.0,4944300000.0,4683600000.0,
Total Revenue,9139000000.0,10208700000.0,9961800000.0,9452600000.0,
Excise Taxes,616500000.0,748200000.0,749200000.0,724600000.0,
Operating Revenue,9755500000.0,10956900000.0,10711000000.0,10177200000.0,
