,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,461500000.0,-214600000.0,-157800000.0,-203100000.0,
Repurchase Of Capital Stock,,,0.0,0.0,-200000000.0
Repayment Of Debt,-1150000000.0,-8300000.0,-1339600000.0,-1366800000.0,
Issuance Of Debt,0.0,598900000.0,1348900000.0,3248900000.0,
Issuance Of Capital Stock,1247500000.0,77300000.0,39400000.0,65400000.0,
Capital Expenditure,-162800000.0,-169400000.0,-141700000.0,-204200000.0,
Interest Paid Supplemental Data,153000000.0,147100000.0,137000000.0,79000000.0,
Income Tax Paid Supplemental Data,149400000.0,144300000.0,150200000.0,176800000.0,
End Cash Position,1638100000.0,1559200000.0,1102000000.0,1234600000.0,
Beginning Cash Position,1559200000.0,1102000000.0,1234600000.0,2195400000.0,
Effect Of Exchange Rate Changes,9200000.0,3400000.0,3100000.0,-15900000.0,
Changes In Cash,69700000.0,453800000.0,-135700000.0,-944900000.0,
Financing Cash Flow,94600000.0,650500000.0,-91400000.0,1930300000.0,
Cash Flow From Continuing Financing Activities,94600000.0,650500000.0,-91400000.0,1930300000.0,
Net Other Financing Charges,-2900000.0,-17400000.0,-140100000.0,-17200000.0,
Net Common Stock Issuance,1247500000.0,77300000.0,39400000.0,65400000.0,
Common Stock Payments,,,0.0,0.0,-200000000.0
Common Stock Issuance,1247500000.0,77300000.0,39400000.0,65400000.0,
Net Issuance Payments Of Debt,-1150000000.0,590600000.0,9300000.0,1882100000.0,
Net Long Term Debt Issuance,-1150000000.0,590600000.0,9300000.0,1882100000.0,
Long Term Debt Payments,-1150000000.0,-8300000.0,-1339600000.0,-1366800000.0,
Long Term Debt Issuance,0.0,598900000.0,1348900000.0,3248900000.0,
Investing Cash Flow,-649200000.0,-151500000.0,-28200000.0,-2876300000.0,
Cash Flow From Continuing Investing Activities,-649200000.0,-151500000.0,-28200000.0,-2876300000.0,
Net Other Investing Changes,-27400000.0,-12800000.0,-27400000.0,-8100000.0,
Net Investment Purchase And Sale,-456400000.0,-8500000.0,148200000.0,646900000.0,
Sale Of Investment,0.0,12600000.0,166700000.0,662600000.0,
Purchase Of Investment,-456400000.0,-21100000.0,-18500000.0,-15700000.0,
Net Business Purchase And Sale,-2600000.0,39200000.0,-7300000.0,-3310900000.0,
Sale Of Business,0.0,39200000.0,0.0,0.0,
Purchase Of Business,-2600000.0,,-7300000.0,-3310900000.0,-161300000.0
Net PPE Purchase And Sale,-162800000.0,-169400000.0,-141700000.0,-204200000.0,
Purchase Of PPE,-162800000.0,-169400000.0,-141700000.0,-204200000.0,
Operating Cash Flow,624300000.0,-45200000.0,-16100000.0,1100000.0,
Cash Flow From Continuing Operating Activities,624300000.0,-45200000.0,-16100000.0,1100000.0,
Change In Working Capital,-1007200000.0,-1243800000.0,-887100000.0,-855800000.0,
Change In Other Working Capital,78500000.0,6800000.0,-11800000.0,-141900000.0,
Change In Other Current Assets,-688900000.0,-691600000.0,-603400000.0,-492800000.0,
Change In Payables And Accrued Expense,-365300000.0,-465900000.0,-200900000.0,-405100000.0,
Change In Payable,-365300000.0,-465900000.0,-200900000.0,-405100000.0,
Change In Account Payable,-365300000.0,-465900000.0,-200900000.0,-405100000.0,
Change In Prepaid Assets,-66500000.0,11900000.0,-154700000.0,77200000.0,
Change In Inventory,,,,,4106000.0
Change In Receivables,35000000.0,-105000000.0,83700000.0,106800000.0,
Changes In Account Receivables,35000000.0,-105000000.0,83700000.0,106800000.0,
Other Non Cash Items,229000000.0,251600000.0,232200000.0,177800000.0,
Stock Based Compensation,333200000.0,314600000.0,311200000.0,327300000.0,
Unrealized Gain Loss On Investment Securities,12500000.0,6900000.0,8600000.0,31500000.0,
Asset Impairment Charge,-1000000.0,3622700000.0,2452000000.0,79100000.0,
Deferred Tax,78000000.0,139500000.0,-150400000.0,-410800000.0,
Deferred Income Tax,78000000.0,139500000.0,-150400000.0,-410800000.0,
Depreciation Amortization Depletion,1278000000.0,1342200000.0,1761600000.0,1776700000.0,
Depreciation And Amortization,1278000000.0,1342200000.0,1761600000.0,1776700000.0,
Amortization Cash Flow,1111600000.0,1188300000.0,1626100000.0,1686400000.0,
Amortization Of Intangibles,1111600000.0,1188300000.0,1626100000.0,1686400000.0,
Depreciation,166400000.0,153900000.0,135500000.0,90300000.0,
Operating Gains Losses,,,,,-6015000.0
Gain Loss On Investment Securities,,,,,-6015000.0
Net Income From Continuing Operations,-298200000.0,-4478900000.0,-3744200000.0,-1124700000.0,
