,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-5200000.0,-11022900.0,-521619000.0,-12343741.125476,
Tax Rate For Calcs,0.4,0.003,0.21,0.15948,
Normalized EBITDA,1254500000.0,701400000.0,683300000.0,659900000.0,
Total Unusual Items,-13000000.0,-3674300000.0,-2483900000.0,-77400000.0,
Total Unusual Items Excluding Goodwill,-13000000.0,-3674300000.0,-2483900000.0,-77400000.0,
Net Income From Continuing Operation Net Minority Interest,-298200000.0,-4478900000.0,-3744200000.0,-1124700000.0,
Reconciled Depreciation,1278000000.0,1342200000.0,1761600000.0,1776700000.0,
Reconciled Cost Of Revenue,1767200000.0,1458600000.0,1517400000.0,1410200000.0,
EBITDA,1241500000.0,-2972900000.0,-1800600000.0,582500000.0,
EBIT,-36500000.0,-4315100000.0,-3562200000.0,-1194200000.0,
Net Interest Income,-76200000.0,-77600000.0,-75000000.0,-110100000.0,
Interest Expense,161300000.0,176200000.0,140600000.0,143900000.0,
Interest Income,85100000.0,98600000.0,65600000.0,33800000.0,
Normalized Income,-290400000.0,-815622900.0,-1781919000.0,-1059643741.125476,
Net Income From Continuing And Discontinued Operation,-298200000.0,-4478900000.0,-3744200000.0,-1124700000.0,
Total Expenses,6765000000.0,6373000000.0,6493500000.0,6500500000.0,
Total Operating Income As Reported,-104200000.0,-4391100000.0,-3590600000.0,-1165200000.0,
Diluted Average Shares,183900000.0,175100000.0,170100000.0,159900000.0,
Basic Average Shares,183900000.0,175100000.0,170100000.0,159900000.0,
Diluted EPS,-1.62,-25.58,-22.01,-7.03,
Basic EPS,-1.62,-25.58,-22.01,-7.03,
Diluted NI Availto Com Stockholders,-298200000.0,-4478900000.0,-3744200000.0,-1124700000.0,
Net Income Common Stockholders,-298200000.0,-4478900000.0,-3744200000.0,-1124700000.0,
Net Income,-298200000.0,-4478900000.0,-3744200000.0,-1124700000.0,
Net Income Including Noncontrolling Interests,-298200000.0,-4478900000.0,-3744200000.0,-1124700000.0,
Net Income Continuous Operations,-298200000.0,-4478900000.0,-3744200000.0,-1124700000.0,
Tax Provision,100400000.0,-12400000.0,41400000.0,-213400000.0,
Pretax Income,-197800000.0,-4491300000.0,-3702800000.0,-1338100000.0,
Other Income Expense,-13000000.0,-3674300000.0,-2483900000.0,-77400000.0,
Other Non Operating Income Expenses,,,,,-5917000.0
Special Income Charges,4400000.0,-3651700000.0,-2446700000.0,-14600000.0,
Impairment Of Capital Assets,0.0,3545200000.0,2342100000.0,0.0,
Restructuring And Mergern Acquisition,-4400000.0,106500000.0,104600000.0,14600000.0,
Gain On Sale Of Security,-17400000.0,-22600000.0,-37200000.0,-62800000.0,
Net Non Operating Interest Income Expense,-76200000.0,-77600000.0,-75000000.0,-110100000.0,
Interest Expense Non Operating,161300000.0,176200000.0,140600000.0,143900000.0,
Interest Income Non Operating,85100000.0,98600000.0,65600000.0,33800000.0,
Operating Income,-108600000.0,-739400000.0,-1143900000.0,-1150600000.0,
Operating Expense,3918300000.0,3801600000.0,3385700000.0,3435900000.0,
Depreciation Amortization Depletion Income Statement,198500000.0,229400000.0,171200000.0,122300000.0,
Depreciation And Amortization In Income Statement,198500000.0,229400000.0,171200000.0,122300000.0,
Research And Development,1074600000.0,1005200000.0,948200000.0,887600000.0,
Selling General And Administration,2645200000.0,2567000000.0,2266300000.0,2426000000.0,
Selling And Marketing Expense,1770800000.0,1683700000.0,1550200000.0,1586500000.0,
General And Administrative Expense,874400000.0,883300000.0,716100000.0,839500000.0,
Other Gand A,874400000.0,883300000.0,716100000.0,839500000.0,
Gross Profit,3809700000.0,3062200000.0,2241800000.0,2285300000.0,
Cost Of Revenue,2846700000.0,2571400000.0,3107800000.0,3064600000.0,
Total Revenue,6656400000.0,5633600000.0,5349600000.0,5349900000.0,
Operating Revenue,6656400000.0,5633600000.0,5349600000.0,5349900000.0,
