,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Ordinary Shares Number,163778271.0,162583789.0,161260172.0,158244607.0,
Share Issued,163778271.0,162583789.0,161260172.0,158244607.0,
Total Debt,95859000.0,75775000.0,55775000.0,60976000.0,
Tangible Book Value,6744561000.0,5348036000.0,4141930000.0,3193899000.0,
Invested Capital,7214752000.0,5832373000.0,4644824000.0,3716252000.0,
Working Capital,6360574000.0,4910398000.0,3824328000.0,2962510000.0,
Net Tangible Assets,6744561000.0,5348036000.0,4141930000.0,3193899000.0,
Capital Lease Obligations,95859000.0,75775000.0,55775000.0,60976000.0,
Common Stock Equity,7214752000.0,5832373000.0,4644824000.0,3716252000.0,
Total Capitalization,7214752000.0,5832373000.0,4644824000.0,3716252000.0,
Total Equity Gross Minority Interest,7214752000.0,5832373000.0,4644824000.0,3716252000.0,
Stockholders Equity,7214752000.0,5832373000.0,4644824000.0,3716252000.0,
Gains Losses Not Affecting Retained Earnings,8160000.0,-8416000.0,-10637000.0,-31129000.0,
Other Equity Adjustments,8160000.0,-8416000.0,-10637000.0,-31129000.0,
Retained Earnings,4363501000.0,3454595000.0,2740457000.0,2214752000.0,
Additional Paid In Capital,2843089000.0,2386192000.0,1915002000.0,1532627000.0,
Capital Stock,2000.0,2000.0,2000.0,2000.0,
Common Stock,2000.0,2000.0,2000.0,2000.0,
Total Liabilities Net Minority Interest,1764591000.0,1507383000.0,1266096000.0,1088044000.0,
Total Non Current Liabilities Net Minority Interest,127535000.0,108979000.0,87213000.0,81241000.0,
Other Non Current Liabilities,43271000.0,42586000.0,38720000.0,30079000.0,
Non Current Deferred Liabilities,558000.0,587000.0,2052000.0,1492000.0,
Non Current Deferred Taxes Liabilities,558000.0,587000.0,2052000.0,1492000.0,
Long Term Debt And Capital Lease Obligation,83706000.0,65806000.0,46441000.0,49670000.0,
Long Term Capital Lease Obligation,83706000.0,65806000.0,46441000.0,49670000.0,
Current Liabilities,1637056000.0,1398404000.0,1178883000.0,1006803000.0,
Current Deferred Liabilities,1488819000.0,1273978000.0,1049761000.0,869285000.0,
Current Deferred Revenue,1488819000.0,1273978000.0,1049761000.0,869285000.0,
Current Debt And Capital Lease Obligation,12153000.0,9969000.0,9334000.0,11306000.0,
Current Capital Lease Obligation,12153000.0,9969000.0,9334000.0,11306000.0,
Pensionand Other Post Retirement Benefit Plans Current,45857000.0,39429000.0,19756000.0,16813000.0,
Payables And Accrued Expenses,90227000.0,75028000.0,100032000.0,109399000.0,
Current Accrued Expenses,45885000.0,35557000.0,28634000.0,30696000.0,
Payables,44342000.0,39471000.0,71398000.0,78703000.0,
Other Payable,,6414000.0,6562000.0,6653000.0,6521000.0
Total Tax Payable,6698000.0,9024000.0,33323000.0,30372000.0,
Income Tax Payable,6698000.0,9024000.0,11862000.0,4946000.0,
Accounts Payable,37644000.0,30447000.0,31513000.0,41678000.0,
Total Assets,8979343000.0,7339756000.0,5910920000.0,4804296000.0,
Total Non Current Assets,981713000.0,1030954000.0,907709000.0,834983000.0,
Other Non Current Assets,62257000.0,56540000.0,43302000.0,38955000.0,
Non Current Deferred Assets,303378000.0,370302000.0,257379000.0,168522000.0,
Non Current Deferred Taxes Assets,273417000.0,343919000.0,233463000.0,136697000.0,
Goodwill And Other Intangible Assets,470191000.0,484337000.0,502894000.0,522353000.0,
Other Intangible Assets,30314000.0,44460000.0,63017000.0,82476000.0,
Goodwill,439877000.0,439877000.0,439877000.0,439877000.0,
Net PPE,145887000.0,119775000.0,104134000.0,105153000.0,
Accumulated Depreciation,-33720000.0,-31453000.0,-36757000.0,-32115000.0,
Gross PPE,179607000.0,151228000.0,140891000.0,137268000.0,
Leases,45153000.0,30186000.0,30793000.0,18986000.0,
Construction In Progress,2059000.0,2992000.0,31000.0,302000.0,
Other Properties,,,,55336000.0,49640000.0
Machinery Furniture Equipment,10353000.0,7771000.0,18049000.0,16228000.0,
Buildings And Improvements,96610000.0,84847000.0,66586000.0,76320000.0,
Land And Improvements,25432000.0,25432000.0,25432000.0,25432000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,7997630000.0,6308802000.0,5003211000.0,3969313000.0,
Other Current Assets,126470000.0,101458000.0,86918000.0,81456000.0,
Prepaid Assets,,,,,36679000.0
Receivables,1310346000.0,1057117000.0,888537000.0,785229000.0,
Other Receivables,50609000.0,40761000.0,36365000.0,82174000.0,
Accounts Receivable,1259737000.0,1016356000.0,852172000.0,703055000.0,
Allowance For Doubtful Accounts Receivable,-256000.0,-57000.0,-520000.0,-469000.0,
Gross Accounts Receivable,1259993000.0,1016413000.0,852692000.0,703524000.0,
Cash Cash Equivalents And Short Term Investments,6560814000.0,5150227000.0,4027756000.0,3102628000.0,
Other Short Term Investments,5139581000.0,4031442000.0,3324269000.0,2216163000.0,
Cash And Cash Equivalents,1421233000.0,1118785000.0,703487000.0,886465000.0,
