,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Free Cash Flow,1415225000.0,1090051000.0,911339000.0,780470000.0,
Repurchase Of Capital Stock,-169949000.0,0.0,0.0,,
Income Tax Paid Supplemental Data,229965000.0,322048000.0,134473000.0,167952000.0,
End Cash Position,1423412000.0,1120963000.0,706670000.0,889650000.0,
Beginning Cash Position,1120963000.0,706670000.0,889650000.0,1141225000.0,
Effect Of Exchange Rate Changes,919000.0,-1735000.0,-1780000.0,-4986000.0,
Changes In Cash,301530000.0,416028000.0,-181200000.0,-246589000.0,
Financing Cash Flow,-9333000.0,26115000.0,-16188000.0,-19376000.0,
Cash Flow From Continuing Financing Activities,-9333000.0,26115000.0,-16188000.0,-19376000.0,
Net Other Financing Charges,-93247000.0,-79423000.0,-78875000.0,-63030000.0,
Proceeds From Stock Option Exercised,253863000.0,105538000.0,62687000.0,43654000.0,
Net Common Stock Issuance,-169949000.0,0.0,0.0,,
Common Stock Payments,-169949000.0,0.0,0.0,,
Net Issuance Payments Of Debt,,,0.0,0.0,-384000.0
Net Long Term Debt Issuance,,,0.0,0.0,-384000.0
Investing Cash Flow,-1104362000.0,-700138000.0,-1076351000.0,-1007683000.0,
Cash Flow From Continuing Investing Activities,-1104362000.0,-700138000.0,-1076351000.0,-1007683000.0,
Net Other Investing Changes,-29131000.0,-20519000.0,-26196000.0,-13512000.0,
Net Investment Purchase And Sale,-1075231000.0,-679619000.0,-1050155000.0,-994171000.0,
Sale Of Investment,2057849000.0,1902349000.0,1647813000.0,1002707000.0,
Purchase Of Investment,-3133080000.0,-2581968000.0,-2697968000.0,-1996878000.0,
Net Business Purchase And Sale,,,0.0,0.0,-7780000.0
Purchase Of Business,,,0.0,0.0,-7780000.0
Operating Cash Flow,1415225000.0,1090051000.0,911339000.0,780470000.0,
Cash Flow From Continuing Operating Activities,1415225000.0,1090051000.0,911339000.0,780470000.0,
Change In Working Capital,-91938000.0,7620000.0,60823000.0,7340000.0,
Change In Other Working Capital,193055000.0,209843000.0,177896000.0,119657000.0,
Change In Other Current Liabilities,-3352000.0,-9589000.0,-5923000.0,-1723000.0,
Change In Payables And Accrued Expense,6736000.0,-6213000.0,-7563000.0,27890000.0,
Change In Accrued Expense,2982000.0,-1414000.0,-4249000.0,9276000.0,
Change In Payable,3754000.0,-4799000.0,-3314000.0,18614000.0,
Change In Account Payable,6080000.0,-1961000.0,-10230000.0,21429000.0,
Change In Tax Payable,-2326000.0,-2838000.0,6916000.0,-2815000.0,
Change In Income Tax Payable,-2326000.0,-2838000.0,6916000.0,-2815000.0,
Change In Prepaid Assets,-33825000.0,-17453000.0,414000.0,-47399000.0,
Change In Receivables,-254552000.0,-168968000.0,-104001000.0,-91085000.0,
Changes In Account Receivables,-244704000.0,-164572000.0,-149810000.0,-72177000.0,
Other Non Cash Items,32181000.0,28276000.0,30339000.0,35521000.0,
Stock Based Compensation,472703000.0,437350000.0,393733000.0,351907000.0,
Asset Impairment Charge,,,693000.0,256000.0,272000.0
Amortization Of Securities,-9693000.0,-24443000.0,-26515000.0,-3624000.0,
Deferred Tax,65094000.0,-112273000.0,-105374000.0,-127502000.0,
Deferred Income Tax,65094000.0,-112273000.0,-105374000.0,-127502000.0,
Depreciation Amortization Depletion,37972000.0,39383000.0,32628000.0,29122000.0,
Depreciation And Amortization,37972000.0,39383000.0,32628000.0,29122000.0,
Operating Gains Losses,,,-222000.0,971000.0,-782000.0
Net Foreign Currency Exchange Gain Loss,,,-222000.0,971000.0,-782000.0
Net Income From Continuing Operations,908906000.0,714138000.0,525705000.0,487706000.0,
