,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Tax Effect Of Unusual Items,2386654.0,4319255.633954,2643218.442136,150121.921995,
Tax Rate For Calcs,0.239,0.22324,0.105979,0.042016,
Normalized EBITDA,944355000.0,711470000.0,437021000.0,484640000.0,
Total Unusual Items,9986000.0,19348000.0,24941000.0,3573000.0,
Total Unusual Items Excluding Goodwill,9986000.0,19348000.0,24941000.0,3573000.0,
Net Income From Continuing Operation Net Minority Interest,908906000.0,714138000.0,525705000.0,487706000.0,
Reconciled Depreciation,37972000.0,39383000.0,32628000.0,29122000.0,
Reconciled Cost Of Revenue,782019000.0,699636000.0,677291000.0,609405000.0,
EBITDA,954341000.0,730818000.0,461962000.0,488213000.0,
EBIT,916369000.0,691435000.0,429334000.0,459091000.0,
Net Interest Income,267219000.0,207987000.0,133748000.0,45860000.0,
Interest Income,267219000.0,207987000.0,133748000.0,45860000.0,
Normalized Income,901306654.0,699109255.633954,503407218.442136,484283121.921995,
Net Income From Continuing And Discontinued Operation,908906000.0,714138000.0,525705000.0,487706000.0,
Total Expenses,2278942000.0,2055184000.0,1934339000.0,1695969000.0,
Total Operating Income As Reported,916369000.0,691435000.0,429334000.0,459091000.0,
Diluted Average Shares,166995000.0,165232000.0,163486000.0,162437000.0,
Basic Average Shares,163667000.0,161879000.0,160532000.0,155385000.0,
Diluted EPS,5.44,4.32,3.22,3.0,
Basic EPS,5.55,4.41,3.27,3.14,
Diluted NI Availto Com Stockholders,908906000.0,714138000.0,525705000.0,487706000.0,
Net Income Common Stockholders,908906000.0,714138000.0,525705000.0,487706000.0,
Net Income,908906000.0,714138000.0,525705000.0,487706000.0,
Net Income Including Noncontrolling Interests,908906000.0,714138000.0,525705000.0,487706000.0,
Net Income Continuous Operations,908906000.0,714138000.0,525705000.0,487706000.0,
Tax Provision,285602000.0,205243000.0,62318000.0,21390000.0,
Pretax Income,1194508000.0,919381000.0,588023000.0,509096000.0,
Other Income Expense,10920000.0,19959000.0,24941000.0,4145000.0,
Other Non Operating Income Expenses,934000.0,611000.0,,572000.0,
Securities Amortization,,-22622000.0,-24817000.0,-2982000.0,7201000.0
Gain On Sale Of Security,9986000.0,19348000.0,24941000.0,3573000.0,
Net Non Operating Interest Income Expense,267219000.0,207987000.0,133748000.0,45860000.0,
Interest Income Non Operating,267219000.0,207987000.0,133748000.0,45860000.0,
Operating Income,916369000.0,691435000.0,429334000.0,459091000.0,
Operating Expense,1496923000.0,1355548000.0,1257048000.0,1086564000.0,
Research And Development,767386000.0,693078000.0,629031000.0,520278000.0,
Selling General And Administration,729537000.0,662470000.0,628017000.0,566286000.0,
Selling And Marketing Expense,428798000.0,396726000.0,381472000.0,348691000.0,
General And Administrative Expense,300739000.0,265744000.0,246545000.0,217595000.0,
Other Gand A,300739000.0,265744000.0,246545000.0,217595000.0,
Gross Profit,2413292000.0,2046983000.0,1686382000.0,1545655000.0,
Cost Of Revenue,782019000.0,699636000.0,677291000.0,609405000.0,
Total Revenue,3195311000.0,2746619000.0,2363673000.0,2155060000.0,
Operating Revenue,3195311000.0,2746619000.0,2363673000.0,2155060000.0,
